Date,Open,High,Low,Close,Volume,Adj Close
2010-05-24,63.66,64.61,63.06,63.15,6160500,63.15
2010-05-21,61.99,65.00,61.39,64.56,10882600,64.56
2010-05-20,65.00,65.11,62.80,63.00,10899800,63.00
2010-05-19,66.85,67.55,65.29,66.21,9974000,66.21
2010-05-18,69.89,70.13,67.30,67.72,8881500,67.72
2010-05-17,70.36,70.37,67.62,69.68,4813600,69.68
2010-05-14,71.08,71.40,68.98,69.82,7952800,69.82
2010-05-13,72.66,73.30,71.56,71.76,3952900,71.76
2010-05-12,72.04,73.37,72.04,72.87,6330100,72.87
2010-05-11,70.31,72.67,70.14,71.42,6550300,71.42
2010-05-10,69.96,71.73,69.80,71.00,8841700,71.00
2010-05-07,68.29,69.12,65.80,66.72,8926100,66.72
2010-05-06,70.66,71.49,62.00,67.97,13769700,67.97
2010-05-05,71.90,72.04,70.44,71.00,5509200,71.00
2010-05-04,73.31,73.45,72.23,72.79,6229300,72.37
2010-05-03,72.62,74.70,72.46,74.39,5407700,73.96
2010-04-30,73.80,74.48,72.26,72.43,5600900,72.01
2010-04-29,73.00,74.00,72.67,73.79,5202000,73.36
2010-04-28,72.95,72.99,71.34,72.37,5699500,71.95
2010-04-27,74.65,74.93,72.23,72.48,6048300,72.06
2010-04-26,74.58,75.29,74.14,74.34,4023900,73.91
2010-04-23,75.04,75.68,74.55,75.13,5198200,74.70
2010-04-22,74.46,76.00,73.68,75.59,9088900,75.15
2010-04-21,71.51,74.65,71.51,74.16,12035700,73.73
2010-04-20,71.54,71.98,70.95,71.41,4759600,71.00
2010-04-19,70.27,71.28,70.16,70.96,4203100,70.55
2010-04-16,72.10,72.10,69.88,70.79,8071300,70.38
2010-04-15,71.34,72.61,71.34,72.09,2943700,71.67
2010-04-14,70.83,71.76,70.81,71.70,3495900,71.29
2010-04-13,71.54,71.69,70.50,71.19,5079300,70.78
2010-04-12,72.15,72.57,71.80,71.92,3666100,71.51
2010-04-09,72.26,72.66,71.81,72.42,3345700,72.00
2010-04-08,71.89,72.46,71.21,72.28,3741500,71.86
2010-04-07,72.16,72.52,71.47,72.10,6717200,71.68
2010-04-06,71.84,73.18,71.77,72.36,5193800,71.94
2010-04-05,72.99,73.05,70.95,72.04,9326300,71.62
2010-04-01,73.24,73.51,72.30,72.99,4411000,72.57
2010-03-31,72.92,73.06,71.95,72.61,5884600,72.19
2010-03-30,73.84,74.18,72.70,73.53,4381300,73.11
2010-03-29,73.08,74.53,73.00,74.11,9064200,73.68
2010-03-26,72.66,72.99,72.35,72.59,4933700,72.17
2010-03-25,72.95,73.43,72.00,72.49,5431000,72.07
2010-03-24,72.42,73.20,71.78,72.32,7700000,71.90
2010-03-23,72.54,72.63,71.51,72.18,4985400,71.76
2010-03-22,71.66,72.64,71.51,71.91,9013600,71.50
2010-03-19,73.20,73.30,70.72,70.72,17721800,70.31
2010-03-18,69.35,70.93,69.19,70.87,7433700,70.46
2010-03-17,68.97,69.49,68.29,69.38,6004300,68.98
2010-03-16,69.24,69.32,68.30,68.72,7494400,68.32
2010-03-15,69.37,69.77,68.52,69.40,7709000,69.00
2010-03-12,70.48,70.49,69.25,69.83,5302100,69.43
2010-03-11,70.08,70.43,69.15,70.07,7289500,69.67
2010-03-10,68.14,70.48,68.03,70.01,10616500,69.61
2010-03-09,67.57,68.34,67.35,67.79,7655900,67.40
2010-03-08,68.01,68.01,67.13,67.24,5075600,66.85
2010-03-05,66.06,68.04,66.03,67.93,8505600,67.54
2010-03-04,65.09,65.80,64.85,65.55,7718700,65.17
2010-03-03,64.58,64.97,64.05,64.45,4289400,64.08
2010-03-02,64.64,65.33,64.36,64.44,4383200,64.07
2010-03-01,63.05,64.33,63.00,64.00,5265600,63.63
2010-02-26,63.09,63.88,63.03,63.16,4416000,62.80
2010-02-25,62.72,62.97,62.00,62.87,5043100,62.51
2010-02-24,63.00,63.70,62.64,63.48,3400400,63.11
2010-02-23,63.81,64.17,62.25,62.77,6483800,62.41
2010-02-22,63.58,64.47,63.19,63.97,6034100,63.60
2010-02-19,62.65,64.34,62.65,63.59,7371100,63.22
2010-02-18,61.78,63.01,61.72,62.89,4390300,62.53
2010-02-17,61.39,62.00,61.00,61.82,4116200,61.46
2010-02-16,60.42,61.29,59.90,61.26,4268700,60.91
2010-02-12,59.87,59.92,58.93,59.65,5178300,59.31
2010-02-11,59.75,60.75,58.94,60.59,4395800,60.24
2010-02-10,59.71,60.05,58.94,59.54,4237100,59.20
2010-02-09,58.62,60.43,58.39,59.74,8250900,59.40
2010-02-08,58.33,58.97,57.78,57.89,4724500,57.56
2010-02-05,59.21,59.74,57.14,58.40,9675700,58.06
2010-02-04,60.95,61.17,59.25,59.32,7490700,58.98
2010-02-03,61.52,61.80,60.85,61.46,5480600,61.11
2010-02-02,61.29,62.00,61.00,61.94,7862300,61.17
2010-02-01,60.74,61.86,60.72,61.70,5919900,60.93
2010-01-29,62.80,63.40,60.32,60.60,8725400,59.84
2010-01-28,62.15,62.95,61.31,62.56,8862500,61.78
2010-01-27,58.84,62.08,58.83,61.93,14758500,61.16
2010-01-26,57.54,58.50,57.23,57.71,4552000,56.99
2010-01-25,58.35,58.75,57.50,57.78,3489900,57.06
2010-01-22,58.62,59.17,57.70,57.77,4743300,57.05
2010-01-21,60.30,61.26,58.90,59.20,5401300,58.46
2010-01-20,60.33,60.57,58.53,60.20,5374100,59.45
2010-01-19,60.60,61.01,59.96,60.65,5427100,59.89
2010-01-15,61.53,61.56,60.21,60.82,5067300,60.06
2010-01-14,61.03,61.62,60.78,61.56,3000400,60.79
2010-01-13,60.61,61.70,60.35,61.16,4950400,60.39
2010-01-12,60.07,61.20,59.91,60.43,5273800,59.67
2010-01-11,61.95,62.09,60.51,60.87,5624900,60.11
2010-01-08,61.54,61.78,60.86,61.60,7146600,60.83
2010-01-07,59.51,62.31,59.02,62.20,14379100,61.42
2010-01-06,58.23,59.99,57.88,59.78,8836500,59.03
2010-01-05,56.25,58.28,56.00,58.02,8867800,57.29
2010-01-04,55.72,56.39,54.80,56.18,6186700,55.48
2009-12-31,55.00,55.22,54.05,54.13,2189400,53.45
2009-12-30,54.86,55.29,54.75,54.96,2461000,54.27
2009-12-29,55.34,55.46,55.14,55.21,2164000,54.52
2009-12-28,55.33,55.55,54.89,55.14,2072200,54.45
2009-12-24,55.26,55.56,55.11,55.48,1004000,54.79
2009-12-23,55.41,55.65,54.92,54.96,3061900,54.27
2009-12-22,54.38,55.37,54.31,55.10,3669800,54.41
2009-12-21,53.36,54.50,53.36,54.30,3655800,53.62
2009-12-18,54.70,54.74,53.10,53.44,8920500,52.77
2009-12-17,54.90,55.40,54.41,54.47,5824200,53.79
2009-12-16,56.11,56.14,54.45,55.13,7803800,54.44
2009-12-15,56.37,56.37,55.33,55.67,7364800,54.97
2009-12-14,56.02,56.56,55.82,56.05,4830600,55.35
2009-12-11,55.47,55.80,55.12,55.60,7396600,54.90
2009-12-10,55.65,56.39,54.72,55.01,5755600,54.32
2009-12-09,55.75,55.80,55.11,55.47,3900100,54.78
2009-12-08,55.99,56.22,55.06,55.66,4658500,54.96
2009-12-07,55.20,55.95,54.90,55.82,4948800,55.12
2009-12-04,54.75,55.45,53.62,54.68,5449900,54.00
2009-12-03,53.99,54.41,53.51,53.77,3997600,53.10
2009-12-02,54.04,54.57,53.26,53.78,5980000,53.11
2009-12-01,52.75,54.22,52.75,53.72,6359000,53.05
2009-11-30,52.43,52.69,51.78,52.41,5432200,51.75
2009-11-27,51.35,52.81,51.00,52.45,3281400,51.79
2009-11-25,51.97,52.95,51.83,52.93,3021500,52.27
2009-11-24,52.08,52.63,50.95,51.97,3288200,51.32
2009-11-23,52.50,53.00,52.32,52.63,3255300,51.97
