Date,Open,High,Low,Close,Volume,Adj Close
2010-05-24,15.98,16.08,15.39,15.40,170656700,15.40
2010-05-21,14.96,16.00,14.95,15.99,266468500,15.99
2010-05-20,15.96,16.05,15.28,15.30,301263900,15.30
2010-05-19,15.80,16.46,15.80,16.31,260711100,16.31
2010-05-18,16.71,16.75,15.67,15.95,216050700,15.95
2010-05-17,16.39,16.45,15.85,16.35,181966800,16.35
2010-05-14,16.71,16.72,16.12,16.34,212906900,16.34
2010-05-13,17.03,17.18,16.85,16.87,135257500,16.87
2010-05-12,17.27,17.33,16.99,17.07,179359300,17.07
2010-05-11,17.08,17.49,16.97,17.16,188202400,17.16
2010-05-10,17.23,17.39,17.01,17.30,268476800,17.30
2010-05-07,16.48,16.79,15.95,16.18,388118300,16.18
2010-05-06,17.48,17.61,15.50,16.28,465091500,16.28
2010-05-05,17.20,17.84,16.89,17.53,195023300,17.53
2010-05-04,17.77,17.91,17.48,17.56,183242300,17.56
2010-05-03,17.88,18.15,17.78,18.06,150747100,18.06
2010-04-30,18.28,18.30,17.61,17.83,231536200,17.83
2010-04-29,18.04,18.40,17.99,18.30,177296300,18.30
2010-04-28,17.65,17.96,17.51,17.78,195287800,17.78
2010-04-27,17.91,18.18,17.41,17.47,259438600,17.47
2010-04-26,18.41,18.44,18.03,18.05,160873000,18.05
2010-04-23,18.40,18.53,18.28,18.43,145428400,18.43
2010-04-22,18.03,18.60,17.95,18.54,219472400,18.54
2010-04-21,18.67,18.91,18.11,18.28,201891300,18.28
2010-04-20,18.79,18.83,18.44,18.61,200544700,18.61
2010-04-19,18.10,18.65,17.87,18.39,358828000,18.39
2010-04-16,19.47,19.48,18.05,18.41,589061800,18.41
2010-04-15,19.63,19.86,19.36,19.48,240100000,19.48
2010-04-14,18.98,19.42,18.92,19.40,246624700,19.40
2010-04-13,18.61,18.72,18.49,18.67,113687800,18.67
2010-04-12,18.68,18.82,18.60,18.66,128319000,18.66
2010-04-09,18.82,18.85,18.50,18.59,135480600,18.59
2010-04-08,18.59,18.84,18.31,18.65,164305500,18.65
2010-04-07,18.58,18.86,18.53,18.62,233522300,18.62
2010-04-06,18.16,18.54,18.10,18.49,160316600,18.49
2010-04-05,18.16,18.25,18.02,18.13,107989300,18.13
2010-04-01,18.02,18.10,17.89,18.04,95607200,18.04
2010-03-31,17.69,17.98,17.67,17.85,114280900,17.85
2010-03-30,18.06,18.12,17.67,17.76,144373000,17.76
2010-03-29,18.17,18.20,17.77,18.04,152539700,18.04
2010-03-26,17.98,18.23,17.75,17.90,220970700,17.90
2010-03-25,17.84,18.35,17.70,17.74,315304700,17.74
2010-03-24,17.12,17.73,17.10,17.57,270410600,17.57
2010-03-23,17.08,17.22,16.94,17.13,131261400,17.13
2010-03-22,16.62,16.97,16.60,16.96,113667800,16.96
2010-03-19,17.16,17.23,16.74,16.82,177969200,16.82
2010-03-18,17.29,17.32,16.98,17.08,123986800,17.08
2010-03-17,17.17,17.30,17.03,17.27,134463900,17.27
2010-03-16,16.97,17.07,16.90,17.03,107411800,17.03
2010-03-15,16.74,16.91,16.59,16.85,120308200,16.85
2010-03-12,17.26,17.30,16.68,16.85,171456700,16.85
2010-03-11,17.18,17.28,17.06,17.12,145079600,17.12
