Date,Open,High,Low,Close,Volume,Adj Close
2010-05-21,106885.00,109850.00,106040.00,109000.00,134800,109000.00
2010-05-20,111200.00,111804.00,108650.00,108650.00,106700,108650.00
2010-05-19,112503.00,114437.00,111400.00,113700.00,96700,113700.00
2010-05-18,114750.00,116000.00,112900.00,113300.00,44700,113300.00
2010-05-17,114000.00,114700.00,112520.00,114225.00,60600,114225.00
2010-05-14,115350.00,115597.00,113064.00,114150.00,76200,114150.00
2010-05-13,116500.00,117131.00,115850.00,115900.00,51800,115900.00
2010-05-12,116230.00,117743.00,115810.00,117000.00,48500,117000.00
2010-05-11,116300.00,118116.00,115465.00,116100.00,64200,116100.00
2010-05-10,116290.00,117445.00,115050.00,117290.00,92100,117290.00
2010-05-07,111550.00,113661.00,109187.00,111500.00,115500,111500.00
2010-05-06,114543.00,115726.00,108565.00,113500.00,139100,113500.00
2010-05-05,113500.00,115365.00,113150.00,114950.00,90500,114950.00
2010-05-04,117100.00,117100.00,114499.00,114800.00,60600,114800.00
2010-05-03,116190.00,117950.00,116190.00,117430.00,59100,117430.00
2010-04-30,117400.00,117640.00,115325.00,115325.00,67400,115325.00
2010-04-29,116900.00,117128.00,116395.00,116801.00,84500,116801.00
2010-04-28,115200.00,116499.00,115200.00,115625.00,67300,115625.00
2010-04-27,117460.00,117920.00,114820.00,114950.00,114200,114950.00
2010-04-26,118995.00,119499.00,118475.00,118760.00,86600,118760.00
2010-04-23,117775.00,119000.00,116966.00,119000.00,91900,119000.00
2010-04-22,116866.00,118400.00,116050.00,118400.00,121400,118400.00
2010-04-21,119900.00,120025.00,117229.00,118280.00,101200,118280.00
2010-04-20,119725.00,120177.00,119001.00,119600.00,75700,119600.00
2010-04-19,116410.00,119357.00,116410.00,119135.00,58800,119135.00
2010-04-16,119806.00,120331.00,113506.00,118400.00,112300,118400.00
2010-04-15,121090.00,121145.00,119747.00,119750.00,80200,119750.00
2010-04-14,120851.00,121574.00,120600.00,121100.00,64900,121100.00
2010-04-13,120950.00,121000.00,119580.00,120855.00,67000,120855.00
2010-04-12,121038.00,121610.00,120236.00,120465.00,37300,120465.00
2010-04-09,119455.00,121050.00,119366.00,121050.00,64700,121050.00
2010-04-08,119300.00,119560.00,118693.00,119400.00,58400,119400.00
2010-04-07,121065.00,121115.00,119332.00,119800.00,62900,119800.00
2010-04-06,121301.00,121485.00,120766.00,121205.00,101100,121205.00
2010-04-05,122595.00,122908.00,121475.00,121700.00,107300,121700.00
2010-04-01,122210.00,122898.00,121575.00,122420.00,51700,122420.00
2010-03-31,121800.00,122350.00,121186.00,121800.00,76600,121800.00
2010-03-30,122300.00,122720.00,122122.00,122459.00,64300,122459.00
2010-03-29,122400.00,122892.00,122375.00,122600.00,107100,122600.00
2010-03-26,122600.00,123180.00,121481.00,121988.00,89500,121988.00
2010-03-25,122415.00,123385.00,122030.00,122650.00,152700,122650.00
2010-03-24,123057.00,123057.00,121500.00,122090.00,73500,122090.00
2010-03-23,123485.00,123500.00,122575.00,123430.00,104700,123430.00
2010-03-22,122000.00,123515.00,121650.00,123500.00,88500,123500.00
2010-03-19,124095.00,124428.00,122625.00,122625.00,216200,122625.00
2010-03-18,123465.00,123623.00,122976.00,123356.00,130800,123356.00
2010-03-17,123800.00,123894.00,123048.00,123757.00,107400,123757.00
2010-03-16,123500.00,123727.00,122660.00,123575.00,159700,123575.00
2010-03-15,123390.00,123835.00,122732.00,123000.00,112600,123000.00
2010-03-12,124065.00,124065.00,122546.00,123200.00,210400,123200.00
2010-03-11,122700.00,123550.00,122055.00,123453.00,154100,123453.00
2010-03-10,123705.00,124177.00,122500.00,123250.00,116500,123250.00
2010-03-09,123700.00,124020.00,123090.00,123590.00,179000,123590.00
2010-03-08,125224.00,125253.00,123800.00,123800.00,232300,123800.00
2010-03-05,124550.00,125050.00,124296.00,125000.00,220700,125000.00
2010-03-04,124469.00,124949.00,123640.00,124080.00,152100,124080.00
2010-03-03,121740.00,124700.00,121120.00,124450.00,184300,124450.00
2010-03-02,123253.00,124094.00,121000.00,121000.00,469600,121000.00
2010-03-01,119850.00,122893.00,118700.00,122801.00,271400,122801.00
2010-02-26,119600.00,120155.00,118643.00,119800.00,324900,119800.00
2010-02-25,118100.00,119012.00,117997.00,118800.00,259500,118800.00
2010-02-24,119350.00,119978.00,118217.00,119500.00,362100,119500.00
2010-02-23,118800.00,120021.00,118400.00,118400.00,358800,118400.00
2010-02-22,118500.00,120038.00,117514.00,119260.00,394100,119260.00
2010-02-19,114955.00,118950.00,114840.00,117750.00,493500,117750.00
