Date,Open,High,Low,Close,Volume,Adj Close
2010-05-24,72.31,72.53,70.70,70.78,5304400,70.78
2010-05-21,71.14,73.25,70.00,73.01,10920900,73.01
2010-05-20,74.40,74.61,72.25,72.28,7728800,72.28
2010-05-19,75.05,76.30,74.26,75.83,4675600,75.83
2010-05-18,76.36,77.36,75.25,75.47,4386500,75.47
2010-05-17,76.06,76.53,75.02,76.31,3707100,76.31
2010-05-14,77.15,77.21,75.31,76.23,5366600,76.23
2010-05-13,77.89,78.10,77.17,77.27,3429100,77.27
2010-05-12,77.69,78.55,77.21,78.00,3611600,78.00
2010-05-11,77.43,78.80,76.86,77.61,4919200,77.61
2010-05-10,77.07,78.30,76.63,78.23,7535300,78.23
2010-05-07,74.25,75.85,72.73,74.41,9018300,74.41
2010-05-06,76.41,77.25,71.50,74.59,10384300,74.59
2010-05-05,75.80,76.98,75.51,76.70,4785100,76.70
2010-05-04,78.05,78.05,76.29,76.61,4662400,76.61
2010-05-03,77.70,78.62,77.46,78.44,4280300,78.44
2010-04-30,77.90,78.46,77.00,77.00,4841900,77.00
2010-04-29,77.71,78.14,77.64,78.09,4334900,78.09
2010-04-28,77.00,77.68,76.90,77.17,4355700,77.17
2010-04-27,78.32,78.67,76.57,76.69,6036900,76.69
2010-04-26,78.99,79.67,78.95,79.24,4657400,79.24
2010-04-23,78.56,79.09,77.95,78.95,3868800,78.95
2010-04-22,78.25,78.85,77.35,78.68,4402000,78.68
2010-04-21,80.20,80.20,78.11,78.87,3983400,78.87
2010-04-20,79.87,80.12,79.32,80.01,3447100,80.01
2010-04-19,78.17,79.59,77.58,79.48,5146500,79.48
2010-04-16,79.85,80.23,75.52,78.72,12106000,78.72
2010-04-15,80.78,80.80,79.80,80.07,3912500,80.07
2010-04-14,80.56,81.05,80.27,80.89,3267400,80.89
2010-04-13,80.21,80.69,79.70,80.45,3071800,80.45
2010-04-12,80.80,81.09,80.13,80.48,2341600,80.48
2010-04-09,79.82,80.55,79.51,80.49,3130900,80.49
2010-04-08,79.45,79.74,79.11,79.68,3972300,79.68
2010-04-07,80.81,80.84,79.51,79.95,5196900,79.95
2010-04-06,81.00,81.02,80.52,80.91,3238300,80.91
2010-04-05,81.92,81.95,81.00,81.16,3601600,81.16
2010-04-01,81.60,81.95,81.03,81.65,3213500,81.65
2010-03-31,81.20,81.49,80.81,81.27,4307500,81.27
2010-03-30,81.54,81.82,81.43,81.60,3618900,81.60
2010-03-29,81.54,81.96,81.54,81.75,3579300,81.75
2010-03-26,81.68,82.15,80.95,81.30,4816000,81.30
2010-03-25,81.67,82.28,81.36,81.70,5460900,81.70
2010-03-24,81.96,82.00,81.00,81.44,5773000,81.44
2010-03-23,82.45,82.45,81.70,82.33,5008000,82.33
2010-03-22,81.55,82.38,81.20,82.37,4107700,82.37
2010-03-19,82.78,82.98,81.80,82.06,9718800,82.06
2010-03-18,82.50,82.55,82.00,82.35,3732600,82.35
2010-03-17,82.49,82.64,82.01,82.50,4365200,82.50
2010-03-16,82.28,82.51,81.74,82.30,4542100,82.30
2010-03-15,82.22,82.50,81.82,82.17,4740400,82.17
2010-03-12,82.63,82.85,81.69,82.24,4731100,82.24
2010-03-11,81.74,82.39,81.41,82.36,5527200,82.36
2010-03-10,82.54,82.84,81.65,82.07,5880700,82.07
2010-03-09,82.65,82.72,82.02,82.47,6188600,82.47
2010-03-08,83.57,83.57,82.65,82.79,7878900,82.79
2010-03-05,83.21,83.40,82.82,83.36,8266900,83.36
2010-03-04,83.10,83.33,82.42,82.68,8268300,82.68
2010-03-03,81.36,83.15,80.75,82.95,11875100,82.95
2010-03-02,82.29,82.73,80.75,80.77,15162600,80.77
2010-03-01,79.99,81.94,79.14,81.91,16667500,81.91
2010-02-26,79.67,80.18,79.10,80.13,10651200,80.13
2010-02-25,79.02,79.40,78.63,79.40,10176000,79.40
2010-02-24,79.54,80.00,78.81,79.68,12045300,79.68
2010-02-23,79.30,80.06,78.98,79.15,14902000,79.15
2010-02-22,79.28,80.09,78.32,79.56,16954300,79.56
2010-02-19,76.62,79.35,76.50,78.74,24692700,78.74
2010-02-18,76.19,76.70,75.86,76.64,9288300,76.64
2010-02-17,76.34,76.41,75.44,76.25,11576500,76.25
2010-02-16,75.88,76.16,75.65,76.05,25006300,76.05
2010-02-12,77.15,77.86,74.57,76.90,316134200,76.90
2010-02-11,74.50,76.80,74.15,76.69,23036600,76.69
2010-02-10,74.54,74.59,74.25,74.42,13792400,74.42
2010-02-09,74.72,74.72,73.90,74.53,13563700,74.53
2010-02-08,73.99,74.50,72.93,74.23,11992500,74.23
2010-02-05,72.25,73.69,71.61,73.57,11737900,73.57
2010-02-04,73.80,73.80,72.05,72.61,11190200,72.61
2010-02-03,75.43,75.51,74.15,74.36,7204000,74.36
2010-02-02,75.70,76.17,74.91,75.51,7978500,75.51
2010-02-01,77.79,78.00,74.62,75.41,13131500,75.41
2010-01-29,74.55,77.79,74.42,76.43,17297400,76.43
2010-01-28,71.94,73.99,71.79,73.75,14114100,73.75
2010-01-27,73.28,73.28,69.91,71.36,19886200,71.36
2010-01-26,69.33,69.68,67.87,68.00,5233900,68.00
2010-01-25,71.48,71.77,68.22,68.84,6568600,68.84
2010-01-22,72.90,73.27,69.36,70.10,8783200,70.10
2010-01-21,71.13,73.43,70.51,72.72,14497200,72.72
2010-01-20,3376.00,3502.50,3340.00,3476.00,249500,69.52
2010-01-19,3276.00,3338.00,3262.50,3332.00,110700,66.64
2010-01-15,3315.00,3315.00,3236.00,3247.00,51400,64.94
2010-01-14,3310.00,3310.00,3292.50,3298.00,26500,65.96
2010-01-13,3311.00,3323.00,3299.50,3300.00,30700,66.00
2010-01-12,3311.00,3327.00,3300.00,3300.00,34800,66.00
2010-01-11,3332.00,3343.50,3308.00,3325.00,52400,66.50
2010-01-08,3324.00,3324.00,3315.00,3322.00,30000,66.44
2010-01-07,3310.00,3325.50,3307.00,3323.00,30100,66.46
2010-01-06,3325.00,3325.00,3310.00,3310.00,35200,66.20
2010-01-05,3319.50,3329.50,3307.50,3327.00,26200,66.54
2010-01-04,3300.00,3325.00,3296.00,3311.00,31500,66.22
2009-12-31,3290.00,3301.00,3280.00,3286.00,19500,65.72
2009-12-30,3283.00,3289.50,3280.00,3289.50,11200,65.79
2009-12-29,3285.00,3289.50,3270.00,3280.00,22100,65.60
2009-12-28,3280.00,3290.00,3275.00,3285.50,21600,65.71
2009-12-24,3282.00,3296.00,3275.00,3287.00,12200,65.74
2009-12-23,3292.00,3299.00,3275.00,3286.00,20800,65.72
2009-12-22,3306.00,3306.00,3286.50,3305.00,22300,66.10
2009-12-21,3290.50,3305.50,3286.00,3299.00,54500,65.98
2009-12-18,3280.00,3303.50,3263.50,3303.50,38000,66.07
2009-12-17,3309.00,3309.00,3276.00,3288.50,30900,65.77
2009-12-16,3319.00,3323.00,3301.50,3308.50,42200,66.17
2009-12-15,3308.00,3325.00,3289.00,3310.00,57800,66.20
2009-12-14,3306.00,3313.50,3288.00,3313.00,24400,66.26
2009-12-11,3281.50,3295.00,3270.00,3287.00,27500,65.74
2009-12-10,3294.00,3304.00,3261.00,3276.00,36700,65.52
2009-12-09,3320.00,3320.00,3275.00,3284.00,32800,65.68
2009-12-08,3320.00,3320.00,3296.00,3314.00,32200,66.28
2009-12-07,3310.00,3338.50,3305.00,3315.50,27400,66.31
2009-12-04,3324.00,3326.00,3303.00,3320.00,30400,66.40
2009-12-03,3349.50,3350.00,3291.00,3291.00,39600,65.82
2009-12-02,3363.00,3365.50,3331.00,3337.00,30000,66.74
2009-12-01,3373.00,3373.00,3347.50,3352.50,66700,67.05
2009-11-30,3361.00,3366.00,3333.50,3353.00,44600,67.06
2009-11-27,3369.50,3400.00,3360.00,3382.00,29000,67.64
2009-11-25,3427.50,3479.50,3395.00,3403.00,36000,68.06
2009-11-24,3450.00,3450.00,3398.00,3415.00,31000,68.30
2009-11-23,3466.00,3482.00,3430.00,3440.00,30500,68.80
2009-11-20,3443.00,3459.00,3436.00,3447.00,23100,68.94
2009-11-19,3450.00,3451.00,3427.50,3450.00,28900,69.00
2009-11-18,3435.00,3474.50,3435.00,3452.00,40400,69.04
2009-11-17,3434.00,3445.50,3425.50,3430.00,24800,68.60
2009-11-16,3430.00,3443.00,3402.00,3431.50,34000,68.63
2009-11-13,3412.00,3430.00,3397.00,3411.00,34900,68.22
2009-11-12,3404.00,3410.00,3373.50,3403.50,28300,68.07
2009-11-11,3405.00,3417.00,3391.00,3395.00,37600,67.90
2009-11-10,3445.00,3445.00,3385.00,3385.00,46900,67.70
2009-11-09,3500.00,3500.00,3425.00,3425.00,69300,68.50
2009-11-06,3380.00,3455.00,3377.00,3425.00,57800,68.50
2009-11-05,3423.00,3423.00,3329.00,3395.00,55600,67.90
2009-11-04,3380.00,3449.00,3349.00,3381.00,118500,67.62
