Date,Open,High,Low,Close,Volume,Adj Close
2010-05-24,3.20,3.23,3.12,3.15,724300,3.15
2010-05-21,3.21,3.28,3.17,3.20,1201600,3.20
2010-05-20,3.28,3.38,3.21,3.24,1487400,3.24
2010-05-19,3.33,3.43,3.30,3.36,1063400,3.36
2010-05-18,3.43,3.45,3.33,3.35,844000,3.35
2010-05-17,3.50,3.50,3.32,3.41,973500,3.41
2010-05-14,3.51,3.53,3.38,3.49,1117800,3.49
2010-05-13,3.72,3.73,3.51,3.54,1633600,3.54
2010-05-12,3.60,3.74,3.54,3.74,1388700,3.74
2010-05-11,3.46,3.71,3.42,3.58,1254600,3.58
2010-05-10,3.46,3.51,3.35,3.50,1285000,3.50
2010-05-07,3.27,3.52,3.19,3.34,2255300,3.34
2010-05-06,3.37,3.53,3.21,3.34,1795700,3.34
2010-05-05,3.36,3.39,3.27,3.28,1032200,3.28
2010-05-04,3.42,3.44,3.33,3.35,1239700,3.35
2010-05-03,3.39,3.49,3.32,3.47,868200,3.47
2010-04-30,3.46,3.49,3.36,3.37,901500,3.37
2010-04-29,3.41,3.49,3.38,3.46,1121400,3.46
2010-04-28,3.37,3.42,3.32,3.40,1513200,3.40
2010-04-27,3.33,3.42,3.31,3.36,1029100,3.36
2010-04-26,3.42,3.45,3.33,3.38,639700,3.38
2010-04-23,3.33,3.42,3.29,3.41,786600,3.41
2010-04-22,3.21,3.33,3.11,3.32,1427800,3.32
2010-04-21,3.24,3.36,3.19,3.25,1876800,3.25
2010-04-20,3.21,3.34,3.20,3.28,861400,3.28
2010-04-19,3.17,3.22,3.13,3.19,2364400,3.19
2010-04-16,3.28,3.28,3.10,3.18,2185500,3.18
2010-04-15,3.34,3.36,3.29,3.30,882500,3.30
2010-04-14,3.34,3.40,3.31,3.35,1117000,3.35
2010-04-13,3.40,3.40,3.33,3.38,712600,3.38
2010-04-12,3.41,3.43,3.35,3.40,1128000,3.40
2010-04-09,3.34,3.40,3.30,3.40,1028300,3.40
2010-04-08,3.34,3.36,3.27,3.33,915200,3.33
2010-04-07,3.39,3.39,3.30,3.36,882200,3.36
2010-04-06,3.43,3.47,3.34,3.37,944200,3.37
2010-04-05,3.43,3.50,3.41,3.46,500300,3.46
2010-04-01,3.41,3.48,3.35,3.41,887100,3.41
2010-03-31,3.49,3.52,3.40,3.41,1245100,3.41
2010-03-30,3.57,3.58,3.45,3.50,1363200,3.50
2010-03-29,3.44,3.62,3.41,3.55,1489200,3.55
2010-03-26,3.43,3.46,3.39,3.45,1227400,3.45
2010-03-25,3.44,3.50,3.39,3.41,2502100,3.41
2010-03-24,3.44,3.47,3.37,3.41,670700,3.41
2010-03-23,3.40,3.48,3.35,3.47,1481200,3.47
2010-03-22,3.38,3.43,3.33,3.41,898600,3.41
2010-03-19,3.25,3.41,3.24,3.41,3191600,3.41
2010-03-18,3.22,3.26,3.20,3.25,892000,3.25
2010-03-17,3.23,3.25,3.20,3.21,925400,3.21
2010-03-16,3.22,3.25,3.19,3.23,667800,3.23
2010-03-15,3.16,3.24,3.16,3.22,1433200,3.22
2010-03-12,3.16,3.19,3.06,3.18,1367200,3.18
2010-03-11,3.16,3.16,3.08,3.16,1519400,3.16
2010-03-10,3.19,3.23,3.14,3.15,1177800,3.15
2010-03-09,3.13,3.24,3.11,3.19,1295500,3.19
2010-03-08,3.21,3.22,3.10,3.11,1646500,3.11
2010-03-05,3.16,3.22,3.11,3.21,1308600,3.21
2010-03-04,3.08,3.16,3.03,3.13,1143500,3.13
2010-03-03,3.11,3.20,3.08,3.12,1599400,3.12
2010-03-02,3.09,3.10,3.01,3.09,1569200,3.09
2010-03-01,2.97,3.10,2.94,3.08,1420100,3.08
2010-02-26,2.95,2.97,2.89,2.96,1973500,2.96
2010-02-25,2.94,2.97,2.92,2.96,1343800,2.96
2010-02-24,3.00,3.04,2.94,2.99,1046300,2.99
2010-02-23,3.07,3.10,3.01,3.05,1249300,3.05
2010-02-22,3.12,3.14,3.06,3.09,630500,3.09
2010-02-19,3.13,3.14,3.06,3.13,692200,3.13
2010-02-18,3.06,3.14,3.03,3.13,735400,3.13
2010-02-17,3.13,3.15,3.01,3.05,1143700,3.05
2010-02-16,3.13,3.14,3.06,3.10,1118500,3.10
2010-02-12,2.88,3.08,2.88,3.06,1974200,3.06
2010-02-11,2.79,2.96,2.72,2.88,2095700,2.88
2010-02-10,2.75,3.02,2.75,2.80,1066200,2.80
2010-02-09,2.76,2.77,2.73,2.77,758600,2.77
2010-02-08,2.77,2.83,2.73,2.73,732400,2.73
2010-02-05,2.83,2.83,2.72,2.75,1281800,2.75
2010-02-04,2.89,2.90,2.80,2.83,1070400,2.83
2010-02-03,2.95,2.95,2.84,2.91,960300,2.91
2010-02-02,2.90,3.03,2.87,2.97,1698500,2.97
2010-02-01,2.92,2.96,2.88,2.90,765700,2.90
2010-01-29,2.96,3.04,2.90,2.91,792300,2.91
2010-01-28,3.05,3.05,2.88,2.95,806700,2.95
2010-01-27,2.92,3.01,2.91,2.98,695600,2.98
2010-01-26,3.03,3.05,2.93,2.95,798700,2.95
2010-01-25,3.08,3.09,3.00,3.04,625300,3.04
2010-01-22,3.08,3.11,3.01,3.07,960700,3.07
2010-01-21,3.23,3.23,3.09,3.09,1280700,3.09
2010-01-20,3.34,3.35,3.20,3.22,1293700,3.22
2010-01-19,3.34,3.40,3.27,3.37,839500,3.37
2010-01-15,3.39,3.40,3.25,3.31,1312200,3.31
2010-01-14,3.29,3.38,3.29,3.33,660100,3.33
2010-01-13,3.41,3.41,3.25,3.31,1096600,3.31
2010-01-12,3.47,3.47,3.32,3.40,781800,3.40
2010-01-11,3.48,3.53,3.41,3.49,715000,3.49
2010-01-08,3.50,3.52,3.44,3.48,431400,3.48
2010-01-07,3.50,3.59,3.49,3.51,1136500,3.51
2010-01-06,3.61,3.62,3.52,3.54,814600,3.54
2010-01-05,3.51,3.65,3.48,3.62,959400,3.62
2010-01-04,3.46,3.62,3.44,3.52,1449700,3.52
2009-12-31,3.48,3.53,3.45,3.45,781900,3.45
2009-12-30,3.49,3.51,3.37,3.47,956400,3.47
2009-12-29,3.59,3.66,3.46,3.49,810800,3.49
2009-12-28,3.47,3.62,3.45,3.58,987400,3.58
2009-12-24,3.43,3.49,3.42,3.47,267200,3.47
2009-12-23,3.36,3.50,3.36,3.43,1317700,3.43
2009-12-22,3.25,3.42,3.19,3.37,1405600,3.37
2009-12-21,3.25,3.35,3.24,3.29,988800,3.29
2009-12-18,3.19,3.29,3.17,3.29,4140200,3.29
2009-12-17,3.21,3.22,3.10,3.16,1183600,3.16
2009-12-16,3.32,3.34,3.21,3.21,1065400,3.21
2009-12-15,3.21,3.32,3.18,3.27,1496400,3.27
2009-12-14,3.25,3.25,3.21,3.24,662500,3.24
2009-12-11,3.14,3.22,3.14,3.22,831800,3.22
2009-12-10,3.15,3.19,3.10,3.13,995700,3.13
2009-12-09,3.15,3.21,3.11,3.14,1012400,3.14
2009-12-08,3.18,3.24,3.18,3.19,782600,3.19
2009-12-07,3.17,3.28,3.17,3.24,991000,3.24
2009-12-04,3.14,3.23,3.12,3.17,1091800,3.17
2009-12-03,3.05,3.17,3.02,3.08,1349000,3.08
2009-12-02,2.97,3.08,2.97,3.05,1131500,3.05
2009-12-01,3.01,3.04,2.98,3.01,2545000,3.01
2009-11-30,3.00,3.05,2.83,2.98,2214600,2.98
2009-11-27,2.96,3.02,2.96,3.02,1078000,3.02
2009-11-25,3.06,3.08,3.00,3.04,1522500,3.04
2009-11-24,3.13,3.14,3.01,3.04,1119700,3.04
2009-11-23,2.98,3.15,2.97,3.11,1114500,3.11
2009-11-20,2.96,3.05,2.90,2.97,922100,2.97
2009-11-19,3.06,3.10,2.97,3.00,1342300,3.00
2009-11-18,3.09,3.10,3.03,3.09,861200,3.09
2009-11-17,3.04,3.08,3.01,3.08,857800,3.08
2009-11-16,3.03,3.11,3.00,3.05,1262500,3.05
2009-11-13,3.05,3.07,2.94,3.01,855900,3.01
2009-11-12,3.09,3.16,3.01,3.03,1093200,3.03
2009-11-11,3.11,3.19,3.02,3.12,1378900,3.12
2009-11-10,2.99,3.13,2.97,3.11,1168300,3.11
2009-11-09,3.01,3.03,2.96,3.00,831100,3.00
