Date,Open,High,Low,Close,Volume,Adj Close
2010-05-21,49.93,51.51,49.74,51.47,18216000,51.47
2010-05-20,52.13,52.41,50.77,50.93,24207400,50.93
2010-05-19,54.29,54.79,53.35,53.91,13780900,53.36
2010-05-18,55.85,56.10,54.55,54.67,12973900,54.11
2010-05-17,56.09,56.19,54.26,55.19,12602800,54.63
2010-05-14,56.45,56.55,55.24,55.84,12413500,55.27
2010-05-13,57.42,57.78,56.79,56.94,10703000,56.36
2010-05-12,57.20,57.96,57.01,57.68,9647200,57.09
2010-05-11,56.07,58.41,56.00,57.28,12971100,56.70
2010-05-10,56.37,57.00,55.93,56.67,14990200,56.09
2010-05-07,54.56,55.72,53.79,54.68,20322100,54.12
2010-05-06,56.27,56.83,52.00,55.09,20385400,54.53
2010-05-05,56.75,57.10,55.86,56.76,14771100,56.18
2010-05-04,59.07,59.11,57.23,58.01,14659600,57.42
2010-05-03,59.52,60.53,59.42,59.70,12428400,59.09
2010-04-30,59.29,59.45,57.81,59.19,14843800,58.59
2010-04-29,59.00,60.15,59.00,59.10,13714400,58.50
2010-04-28,57.59,58.80,57.42,58.55,17487000,57.95
2010-04-27,57.50,58.49,54.26,57.54,17853900,56.95
2010-04-26,58.16,58.47,58.06,58.30,10920700,57.71
2010-04-23,56.90,58.13,56.58,58.09,11927300,57.50
2010-04-22,56.74,57.02,55.96,56.98,9467700,56.40
2010-04-21,57.54,57.64,56.57,57.22,9079100,56.64
2010-04-20,57.07,57.61,56.94,57.40,9219800,56.81
2010-04-19,55.52,56.76,55.39,56.64,10893500,56.06
2010-04-16,56.82,57.07,55.54,56.05,13256900,55.48
2010-04-15,56.89,57.49,56.66,57.06,11108100,56.48
2010-04-14,55.91,56.95,55.70,56.89,11416800,56.31
2010-04-13,56.38,56.78,55.43,55.67,14320500,55.10
2010-04-12,55.41,56.17,55.26,55.96,14185600,55.39
2010-04-09,54.22,55.47,54.21,55.32,14952200,54.76
2010-04-08,52.65,54.16,52.52,53.94,14650200,53.39
2010-04-07,53.18,53.18,52.42,52.91,10716800,52.37
2010-04-06,53.17,53.43,52.90,53.30,7424500,52.76
2010-04-05,52.36,53.31,52.02,53.28,9373400,52.74
2010-04-01,51.60,52.09,51.50,52.02,9091900,51.49
2010-03-31,51.21,51.43,50.97,51.17,12257900,50.65
2010-03-30,51.09,51.39,50.92,51.26,9224700,50.74
2010-03-29,51.41,51.54,50.86,51.15,12910100,50.63
2010-03-26,51.79,51.81,50.66,51.02,15010000,50.50
2010-03-25,52.80,52.84,51.49,51.53,10523100,51.00
2010-03-24,52.91,52.94,52.21,52.53,14740300,51.99
2010-03-23,52.07,52.60,51.72,52.51,8912200,51.97
2010-03-22,51.44,52.26,51.34,52.10,8204600,51.57
2010-03-19,52.94,52.98,51.70,52.37,11726800,51.84
2010-03-18,52.90,52.91,52.17,52.71,8476600,52.17
2010-03-17,52.38,53.18,52.31,52.98,12061900,52.44
2010-03-16,51.93,52.30,51.76,52.17,11748200,51.64
2010-03-15,51.43,52.08,51.16,51.65,9728600,51.12
2010-03-12,51.54,51.77,51.17,51.68,7638100,51.15
2010-03-11,51.47,51.51,50.95,51.30,7756400,50.78
2010-03-10,50.87,51.62,50.85,51.47,12144100,50.94
2010-03-09,50.46,51.09,50.36,50.85,9678700,50.33
2010-03-08,50.56,50.87,50.41,50.73,6226300,50.21
2010-03-05,49.85,50.51,49.73,50.41,11618100,49.90
2010-03-04,49.37,49.54,49.09,49.34,10338700,48.84
2010-03-03,49.88,49.98,49.34,49.38,13870300,48.88
2010-03-02,49.33,49.92,49.20,49.71,10100100,49.20
2010-03-01,48.37,48.99,48.27,48.91,8714500,48.41
2010-02-26,48.38,48.53,47.95,48.00,7936600,47.51
2010-02-25,47.60,48.36,47.15,48.30,9129100,47.81
2010-02-24,47.86,48.52,47.63,48.35,7810500,47.86
2010-02-23,48.43,48.65,47.56,47.85,10600900,47.36
2010-02-22,49.29,49.29,48.53,48.70,8356200,48.20
2010-02-19,48.70,49.22,48.46,48.90,9463100,48.40
2010-02-18,48.62,49.16,48.53,48.87,9579000,48.37
2010-02-17,49.91,50.25,48.99,49.30,12107400,48.30
2010-02-16,49.08,50.13,49.08,49.92,11410300,48.91
2010-02-12,48.36,48.83,47.94,48.67,10627500,47.68
2010-02-11,48.28,49.11,47.96,48.90,7523800,47.91
2010-02-10,48.51,48.65,47.80,48.26,8992000,47.28
2010-02-09,47.95,50.32,47.40,48.49,13346700,47.51
2010-02-08,47.91,48.25,47.30,47.37,7941300,46.41
2010-02-05,47.89,48.10,46.63,47.98,15305200,47.01
2010-02-04,49.59,49.60,47.91,48.16,13351000,47.19
2010-02-03,49.83,50.51,49.72,49.99,10317900,48.98
2010-02-02,49.36,50.24,49.00,50.15,12430900,49.13
2010-02-01,48.45,49.32,48.26,49.07,11224300,48.08
2010-01-29,48.65,48.87,47.78,48.00,16904400,47.03
2010-01-28,50.04,50.24,47.77,48.35,13702800,47.37
2010-01-27,50.43,51.04,48.99,49.81,12079100,48.80
2010-01-26,50.33,51.02,49.96,50.43,11073300,49.41
2010-01-25,50.96,51.58,50.65,50.75,8734800,49.72
2010-01-22,52.00,52.19,50.51,50.60,13456000,49.58
2010-01-21,53.03,53.27,52.06,52.24,15766100,51.18
2010-01-20,52.81,53.16,52.51,53.06,9433400,51.99
2010-01-19,52.45,53.80,52.45,53.71,8674600,52.62
2010-01-15,52.83,53.06,52.46,53.02,8840400,51.95
2010-01-14,52.66,53.15,52.50,52.98,6735600,51.91
2010-01-13,52.21,52.96,51.98,52.76,7219700,51.69
2010-01-12,53.00,53.01,52.28,52.43,8615000,51.37
2010-01-11,53.54,53.74,53.06,53.57,6836500,52.49
2010-01-08,52.61,53.28,52.43,53.26,5552900,52.18
2010-01-07,52.71,53.09,52.50,52.80,5830900,51.73
2010-01-06,52.67,53.07,52.33,53.01,8867200,51.94
2010-01-05,52.65,52.77,52.21,52.63,7687600,51.56
2010-01-04,51.77,52.68,51.53,52.58,10581600,51.52
2009-12-31,51.12,51.38,50.92,51.07,5975400,50.04
2009-12-30,50.56,51.00,50.50,50.99,4425600,49.96
2009-12-29,51.25,51.38,50.73,50.80,4689500,49.77
2009-12-28,51.00,51.25,50.84,51.16,4030000,50.12
2009-12-24,50.49,50.95,50.41,50.87,2234500,49.84
2009-12-23,50.72,50.90,50.38,50.48,5013100,49.46
