Date,Open,High,Low,Close,Volume,Adj Close
2010-05-21,16.25,16.25,16.25,16.25,000,16.25
2010-05-20,16.30,16.30,16.25,16.25,300,16.25
2010-05-19,16.25,16.25,16.25,16.25,400,16.25
2010-05-18,16.25,16.25,16.25,16.25,000,16.25
2010-05-17,16.22,16.25,16.22,16.25,400,16.25
2010-05-14,16.18,16.18,16.18,16.18,000,16.18
2010-05-13,16.18,16.18,16.18,16.18,000,16.18
2010-05-12,16.18,16.18,16.18,16.18,000,16.18
2010-05-11,16.22,16.22,15.71,16.18,400,16.18
2010-05-10,16.18,16.20,16.18,16.20,700,16.20
2010-05-07,16.65,16.65,16.65,16.65,000,16.65
2010-05-06,16.65,16.65,16.65,16.65,200,16.65
2010-05-05,16.13,16.65,16.13,16.65,800,16.65
2010-05-04,16.65,16.65,16.60,16.60,300,16.60
2010-05-03,16.45,16.45,16.45,16.45,500,16.45
2010-04-30,16.22,16.22,16.22,16.22,200,16.22
2010-04-29,15.99,15.99,15.99,15.99,000,15.99
2010-04-28,15.78,16.00,15.75,15.99,1900,15.99
2010-04-27,16.45,16.45,16.45,16.45,000,16.45
2010-04-26,16.10,16.45,15.62,16.45,1500,16.45
2010-04-23,16.42,16.42,15.83,15.83,200,15.83
2010-04-22,16.00,16.00,16.00,16.00,100,16.00
2010-04-21,16.30,16.45,16.25,16.25,400,16.25
2010-04-20,16.50,16.50,15.58,15.84,1200,15.84
2010-04-19,16.44,16.44,16.40,16.40,200,16.40
2010-04-16,16.12,16.12,16.12,16.12,100,16.12
2010-04-15,16.60,16.60,16.60,16.60,000,16.60
2010-04-14,16.60,16.60,16.60,16.60,100,16.60
2010-04-13,16.28,17.53,15.38,16.35,13700,16.35
2010-04-12,16.22,16.26,16.20,16.26,2400,16.26
2010-04-09,16.20,16.22,16.20,16.22,300,16.22
2010-04-08,16.18,16.22,16.18,16.22,300,16.22
2010-04-07,15.44,16.20,15.44,16.20,1400,16.20
2010-04-06,15.20,16.20,15.00,16.20,4000,16.20
2010-04-05,15.30,15.30,15.30,15.30,300,15.30
2010-04-01,15.22,15.70,14.94,15.48,400,15.48
2010-03-31,15.35,15.95,14.81,15.20,1900,15.20
2010-03-30,15.85,15.85,15.37,15.37,3800,15.37
2010-03-29,15.00,16.00,15.00,15.85,2800,15.85
2010-03-26,15.92,16.19,15.92,16.19,300,16.19
2010-03-25,16.15,16.65,15.65,15.65,900,15.65
2010-03-24,16.62,16.62,16.62,16.62,000,16.62
2010-03-23,16.59,16.63,16.06,16.62,700,16.62
