Date,Open,High,Low,Close,Volume,Adj Close
2010-05-24,32.56,32.99,32.11,32.48,14040200,32.48
2010-05-21,31.40,32.87,31.40,32.87,20122900,32.87
2010-05-20,32.76,32.96,31.99,31.99,26615500,31.99
2010-05-19,33.47,33.80,33.09,33.39,18536600,33.39
2010-05-18,34.36,34.64,33.52,33.73,17393800,33.73
2010-05-17,34.22,34.34,33.29,34.20,15136700,34.20
2010-05-14,34.66,34.78,33.83,34.06,16945200,34.06
2010-05-13,35.18,35.53,34.74,34.75,15445900,34.75
2010-05-12,34.98,36.21,34.82,35.13,25533300,35.13
2010-05-11,35.52,36.25,35.14,35.76,19853200,35.76
2010-05-10,34.99,35.63,34.56,35.29,18282600,35.29
2010-05-07,33.86,34.35,32.77,33.41,22579800,33.41
2010-05-06,35.16,35.55,31.00,34.01,25181500,34.01
2010-05-05,36.43,36.56,35.08,35.34,17960000,35.34
2010-05-04,37.29,37.30,36.32,36.59,13195700,36.59
2010-05-03,36.95,37.98,36.84,37.56,10887500,37.56
2010-04-30,37.19,37.49,36.60,36.84,11456400,36.84
2010-04-29,36.50,37.39,36.50,37.22,10576700,37.22
2010-04-28,36.52,36.55,35.96,36.29,10930900,36.29
2010-04-27,36.78,36.82,36.16,36.32,10931300,36.32
2010-04-26,36.76,37.14,36.67,37.04,9983200,37.04
2010-04-23,36.80,36.85,36.49,36.79,7677100,36.79
2010-04-22,36.30,36.87,36.12,36.78,10494600,36.78
2010-04-21,36.39,36.75,36.35,36.56,9039700,36.56
2010-04-20,36.28,36.65,36.28,36.54,16515000,36.54
2010-04-19,35.80,36.17,35.58,36.17,9840500,36.17
2010-04-16,36.22,36.51,35.68,35.83,12327500,35.83
2010-04-15,36.08,36.51,35.86,36.40,9185900,36.40
2010-04-14,35.89,36.21,35.77,36.20,9267400,36.20
2010-04-13,35.87,36.06,35.71,35.84,10922200,35.84
2010-04-12,36.14,36.33,35.80,35.89,10410800,35.89
2010-04-09,35.82,36.88,35.64,36.22,21346000,36.22
2010-04-08,35.28,35.75,35.14,35.67,9915900,35.67
2010-04-07,35.39,35.49,35.06,35.32,9242200,35.32
2010-04-06,35.24,35.61,35.10,35.47,12637700,35.47
2010-04-05,35.28,35.54,35.07,35.22,10607900,35.22
2010-04-01,35.07,35.59,35.01,35.55,14603000,35.55
2010-03-31,35.07,35.20,34.81,34.91,10789500,34.91
2010-03-30,35.13,35.20,34.76,35.10,17201800,35.10
2010-03-29,35.28,35.42,34.97,35.16,12560500,35.16
2010-03-26,34.89,35.60,34.85,35.31,22909800,35.31
2010-03-25,34.49,35.50,34.42,35.09,32705900,35.09
2010-03-24,33.91,34.43,33.87,34.39,12195200,34.39
2010-03-23,34.00,34.10,33.73,34.01,7038000,34.01
2010-03-22,33.47,34.19,33.42,33.95,11717600,33.95
2010-03-19,33.81,33.98,33.48,33.64,16729000,33.64
2010-03-18,33.69,33.85,33.52,33.78,8044200,33.78
2010-03-17,33.79,33.84,33.53,33.75,7858400,33.75
2010-03-16,33.74,33.83,33.49,33.75,8472600,33.75
2010-03-15,33.52,33.75,33.36,33.72,8235900,33.72
2010-03-12,33.81,33.81,33.47,33.69,9610400,33.69
2010-03-11,33.32,33.81,33.12,33.81,11392500,33.81
2010-03-10,33.18,33.60,33.10,33.33,9652900,33.33
2010-03-09,33.00,33.34,32.78,33.31,11072700,33.31
2010-03-08,32.96,33.50,32.95,33.19,13176600,33.19
2010-03-05,32.79,33.22,32.75,33.22,19204800,33.22
2010-03-04,32.02,32.86,31.92,32.57,23075400,32.57
2010-03-03,31.95,31.96,31.55,31.64,10345500,31.64
2010-03-02,31.41,31.92,31.39,31.88,14070600,31.88
2010-03-01,31.40,31.60,31.34,31.54,8681000,31.54
2010-02-26,31.39,31.41,30.98,31.24,13449800,31.24
2010-02-25,30.88,31.41,30.85,31.36,10553800,31.36
2010-02-24,31.05,31.50,31.01,31.39,12062100,31.39
2010-02-23,31.03,31.27,30.86,30.92,10228300,30.92
2010-02-22,31.35,31.47,31.06,31.12,7868200,31.12
2010-02-19,30.94,31.52,30.85,31.23,12595600,31.23
2010-02-18,30.86,31.07,30.68,31.02,8212300,31.02
2010-02-17,30.54,30.93,30.38,30.86,9768600,30.86
2010-02-16,30.28,30.50,30.17,30.47,9061600,30.47
2010-02-12,29.86,30.20,29.86,30.07,12802700,30.07
2010-02-11,29.82,30.43,29.76,30.16,12389400,30.16
2010-02-10,29.16,30.09,29.03,30.03,24191900,30.03
2010-02-09,29.89,30.04,29.48,29.84,14376800,29.84
2010-02-08,29.76,29.95,29.46,29.48,10656800,29.48
2010-02-05,29.63,29.84,28.99,29.54,11956100,29.54
2010-02-04,30.28,30.49,29.66,29.67,13407100,29.67
2010-02-03,29.92,30.87,29.79,30.75,15976200,30.75
2010-02-02,29.53,30.01,29.22,29.98,10100900,29.98
2010-02-01,29.60,29.77,29.34,29.52,10894200,29.52
2010-01-29,29.37,29.82,29.25,29.55,14507900,29.55
2010-01-28,29.43,29.48,28.71,29.35,17126000,29.35
2010-01-27,29.56,29.81,29.01,29.32,16121200,29.32
2010-01-26,29.80,29.94,29.32,29.66,11197300,29.66
2010-01-25,30.22,30.23,29.55,29.92,11155800,29.92
2010-01-22,30.50,30.71,29.95,29.98,14459400,29.98
2010-01-21,31.14,31.42,30.57,30.61,15403600,30.61
2010-01-20,31.00,31.24,30.72,31.19,13302800,31.19
2010-01-19,30.59,31.19,30.50,31.01,9662100,31.01
2010-01-15,31.01,31.15,30.41,30.60,13936400,30.60
2010-01-14,31.13,31.18,30.96,31.02,9235600,31.02
2010-01-13,30.89,31.37,30.87,31.29,9620600,31.29
2010-01-12,31.02,31.12,30.68,30.82,14618300,30.82
2010-01-11,31.53,31.74,31.09,31.36,11250500,31.36
2010-01-08,31.66,31.94,31.53,31.88,7657500,31.88
2010-01-07,31.77,31.86,31.54,31.83,8202100,31.83
2010-01-06,31.90,32.00,31.68,31.82,10709500,31.82
2010-01-05,32.07,32.16,31.70,31.99,10307700,31.99
2010-01-04,32.50,32.75,31.87,32.07,13700400,32.07
2009-12-31,32.27,32.75,32.22,32.25,19651700,32.25
2009-12-30,32.31,32.38,32.10,32.28,6692500,32.28
2009-12-29,32.05,32.48,32.01,32.38,6242100,32.38
2009-12-28,32.24,32.36,31.80,31.91,7981600,31.91
2009-12-24,32.02,32.34,31.94,32.29,3557400,32.29
2009-12-23,32.31,32.47,32.04,32.43,6567900,32.43
2009-12-22,32.31,32.50,32.22,32.31,9162000,32.31
2009-12-21,32.05,32.49,31.99,32.40,7702900,32.40
2009-12-18,32.08,32.17,31.58,31.95,15229700,31.95
2009-12-17,32.17,32.29,31.65,31.93,14592500,31.93
2009-12-16,32.20,32.59,32.20,32.43,11940200,32.43
2009-12-15,31.70,32.33,31.61,32.18,15183800,32.18
2009-12-14,31.92,32.08,31.81,31.83,9230700,31.83
2009-12-11,31.49,31.83,31.37,31.70,15481000,31.70
2009-12-10,30.85,31.53,30.75,31.30,13609600,31.30
2009-12-09,30.93,30.93,30.52,30.70,9267900,30.35
2009-12-08,30.87,30.98,30.45,30.68,8703000,30.33
2009-12-07,30.93,31.24,30.82,31.00,12451500,30.65
2009-12-04,30.68,31.10,30.42,30.84,14406400,30.49
2009-12-03,30.80,30.97,30.30,30.33,9511700,29.98
2009-12-02,30.56,30.87,30.50,30.79,11386300,30.44
2009-12-01,30.44,30.77,30.44,30.73,9318200,30.38
2009-11-30,30.23,30.37,29.95,30.22,10260500,29.88
2009-11-27,30.07,30.50,29.80,30.35,5688000,30.00
2009-11-25,30.24,30.75,30.00,30.61,10274900,30.26
2009-11-24,30.46,30.53,30.10,30.23,7829700,29.89
2009-11-23,30.31,30.76,30.31,30.48,8046300,30.13
2009-11-20,30.07,30.25,29.85,30.01,9205600,29.67
2009-11-19,30.26,30.40,29.92,30.21,8148500,29.87
2009-11-18,30.68,30.78,30.30,30.67,7843500,30.32
2009-11-17,30.27,30.93,30.25,30.87,10173600,30.52
2009-11-16,30.12,30.88,30.03,30.70,12891200,30.35
2009-11-13,29.75,30.53,29.71,30.44,29084900,30.09
2009-11-12,29.40,29.46,28.90,29.05,18282100,28.72
2009-11-11,29.21,29.47,29.11,29.29,11551800,28.96
2009-11-10,29.01,29.30,28.95,29.12,16938200,28.79
2009-11-09,28.67,29.07,28.23,29.00,12643300,28.67
2009-11-06,28.79,29.00,28.34,28.56,11862600,28.23
2009-11-05,28.23,29.10,28.23,29.00,12129800,28.67
2009-11-04,28.12,28.73,27.90,28.03,12832900,27.71
2009-11-03,27.26,27.73,27.10,27.62,12044500,27.31
2009-11-02,27.38,27.86,27.01,27.41,13301400,27.10
2009-10-30,28.14,28.31,27.28,27.37,12957000,27.06
2009-10-29,27.46,28.16,27.18,28.14,13171500,27.82
2009-10-28,28.07,28.16,27.23,27.24,14359600,26.93
2009-10-27,28.63,28.93,28.01,28.17,11176400,27.85
2009-10-26,28.87,29.47,28.42,28.65,13255900,28.32
2009-10-23,29.36,29.47,28.69,28.89,9778300,28.56
2009-10-22,29.07,29.57,28.85,29.44,7547900,29.10
2009-10-21,29.33,29.96,29.20,29.23,9611300,28.90
2009-10-20,29.73,29.73,28.99,29.35,10377800,29.02
2009-10-19,29.40,29.98,29.20,29.87,12627300,29.53
2009-10-16,29.02,29.52,28.81,29.40,12048800,29.06
2009-10-15,28.73,29.25,28.70,29.23,8734100,28.90
2009-10-14,28.69,29.00,28.48,28.91,9541600,28.58
2009-10-13,28.60,28.79,28.36,28.41,9426400,28.09
2009-10-12,28.71,29.15,28.49,28.64,6960000,28.31
2009-10-09,28.67,28.76,28.45,28.64,7091600,28.31
2009-10-08,28.27,28.99,28.25,28.67,10366700,28.34
2009-10-07,28.29,28.45,27.96,28.17,6861400,27.85
2009-10-06,27.83,28.33,27.67,28.18,11016400,27.86
2009-10-05,27.16,27.77,27.00,27.67,10263300,27.35
2009-10-02,27.05,27.27,26.84,27.21,14635300,26.90
2009-10-01,27.76,27.76,27.00,27.36,16124900,27.05
2009-09-30,27.93,28.00,27.25,27.46,18600700,27.15
2009-09-29,28.26,28.44,27.94,27.94,8057800,27.62
2009-09-28,27.77,28.38,27.72,28.23,8633100,27.91
2009-09-25,28.00,28.02,27.53,27.62,13628000,27.31
2009-09-24,28.13,28.32,27.65,27.97,11950300,27.65
2009-09-23,28.49,28.60,28.04,28.08,11057300,27.76
2009-09-22,28.13,28.40,28.01,28.38,9578900,28.06
2009-09-21,28.12,28.18,27.66,28.00,10935700,27.68
2009-09-18,28.57,28.68,28.25,28.44,14104800,28.12
2009-09-17,28.31,28.53,28.14,28.46,13941400,28.14
2009-09-16,28.31,28.46,28.10,28.37,10020300,28.05
2009-09-15,28.00,28.37,27.83,28.29,10712200,27.97
2009-09-14,28.19,28.29,27.79,28.08,12298300,27.76
2009-09-11,28.35,28.42,28.01,28.42,14221600,28.10
2009-09-10,26.96,28.37,26.96,28.36,21856400,28.04
2009-09-09,26.29,26.99,26.15,26.95,19096600,26.64
2009-09-08,26.31,26.36,26.09,26.28,12399400,25.98
2009-09-04,25.45,26.03,25.35,25.90,11638500,25.60
2009-09-03,25.59,25.63,25.25,25.44,11087600,25.15
2009-09-02,25.63,25.65,25.26,25.40,14833200,25.11
