Date,Open,High,Low,Close,Volume,Adj Close
2010-05-24,11.29,11.44,11.01,11.01,90998300,11.01
2010-05-21,10.25,11.30,10.17,11.26,174270000,11.26
2010-05-20,11.04,11.30,10.76,10.80,155979200,10.80
2010-05-19,11.30,11.66,11.11,11.55,132776500,11.55
2010-05-18,12.15,12.18,11.45,11.55,101119300,11.55
2010-05-17,12.08,12.18,11.49,11.95,108634100,11.95
2010-05-14,12.25,12.35,11.87,12.11,105789500,12.11
2010-05-13,12.87,12.87,12.32,12.42,100100400,12.42
2010-05-12,12.57,12.71,12.49,12.68,102613900,12.68
2010-05-11,11.99,12.56,11.85,12.31,125682500,12.31
2010-05-10,12.54,12.56,12.02,12.15,134287900,12.15
2010-05-07,11.95,11.97,10.95,11.51,260982400,11.51
2010-05-06,12.17,12.51,10.59,11.78,236681200,11.78
2010-05-05,12.32,12.70,11.59,12.34,198440800,12.34
2010-05-04,13.07,13.08,12.75,12.85,123137000,12.85
2010-05-03,13.18,13.49,13.18,13.30,106346800,13.30
2010-04-30,13.64,13.73,12.96,13.02,146218800,13.02
2010-04-29,13.45,13.70,13.38,13.58,110012600,13.58
2010-04-28,13.39,13.45,12.90,13.25,207924800,13.25
2010-04-27,14.44,14.50,13.15,13.57,292427600,13.57
2010-04-26,14.39,14.57,14.28,14.46,122643600,14.46
2010-04-23,14.22,14.39,14.11,14.21,91916300,14.21
2010-04-22,14.00,14.23,13.85,14.20,93299500,14.20
2010-04-21,14.02,14.15,13.92,14.13,120284000,14.13
2010-04-20,13.72,13.94,13.67,13.91,75509600,13.91
2010-04-19,13.38,13.75,13.36,13.60,95855100,13.60
2010-04-16,13.84,13.92,13.30,13.42,149640000,13.42
2010-04-15,13.42,13.88,13.41,13.76,159015600,13.76
2010-04-14,12.92,13.43,12.86,13.35,153602100,13.35
2010-04-13,12.75,12.89,12.71,12.79,71008500,12.79
2010-04-12,12.72,12.81,12.64,12.77,50783100,12.77
2010-04-09,12.73,12.84,12.61,12.72,60408600,12.72
2010-04-08,12.55,12.71,12.34,12.63,77491400,12.63
