Date,Open,High,Low,Close,Volume,Adj Close
2010-05-24,125.26,126.02,124.04,124.45,6868600,124.45
2010-05-21,122.16,125.61,121.40,125.42,12639500,125.42
2010-05-20,127.22,127.96,123.68,123.80,13176500,123.80
2010-05-19,129.37,130.50,127.82,128.86,8669300,128.86
2010-05-18,131.26,131.99,129.90,129.95,9330000,129.95
2010-05-17,130.68,131.76,128.70,130.44,8923400,130.44
2010-05-14,131.06,131.67,129.41,131.19,9920100,131.19
2010-05-13,130.93,133.10,130.85,131.48,10497800,131.48
2010-05-12,127.16,132.85,127.01,132.68,16626900,132.68
2010-05-11,125.21,128.42,125.15,126.89,6498900,126.89
2010-05-10,126.27,126.67,125.06,126.27,8463900,126.27
2010-05-07,123.36,124.39,120.00,122.10,10584800,122.10
2010-05-06,126.29,127.93,116.00,123.92,13168800,123.92
2010-05-05,127.12,128.23,126.87,127.46,6072800,126.81
2010-05-04,128.89,128.93,126.57,128.12,8285000,127.47
2010-05-03,129.39,130.14,128.80,129.60,4992100,128.94
2010-04-30,130.43,130.64,128.84,129.00,6266700,128.34
2010-04-29,130.55,131.21,130.15,130.46,5786900,129.79
2010-04-28,129.40,130.47,129.03,130.10,7122300,129.44
2010-04-27,129.90,132.00,128.71,128.82,10916700,128.16
2010-04-26,129.76,131.04,129.54,130.73,5285400,130.06
2010-04-23,129.08,130.10,128.71,129.99,6197300,129.33
2010-04-22,128.64,129.36,127.77,129.13,6018500,128.47
2010-04-21,129.87,130.27,128.50,128.99,7559200,128.33
2010-04-20,129.20,130.33,128.26,129.69,15216500,129.03
2010-04-19,130.38,132.28,130.38,132.23,11353700,131.56
2010-04-16,130.68,132.17,130.25,130.63,9546200,129.96
2010-04-15,130.53,131.14,130.19,130.89,6425300,130.22
2010-04-14,129.73,131.42,129.46,131.25,8545800,130.58
2010-04-13,128.26,129.43,127.84,129.03,6819100,128.37
2010-04-12,128.57,128.96,128.24,128.36,3992300,127.71
2010-04-09,127.88,128.87,127.12,128.76,5185100,128.10
2010-04-08,128.04,128.23,127.20,127.61,6006900,126.96
2010-04-07,128.53,129.27,128.01,128.48,5157000,127.82
2010-04-06,128.68,129.30,128.05,128.93,3926300,128.27
2010-04-05,128.38,129.80,128.14,129.35,4118700,128.69
2010-04-01,128.95,129.31,127.55,128.25,4980500,127.60
2010-03-31,128.23,128.75,127.65,128.25,4904800,127.60
2010-03-30,128.90,129.13,128.25,128.77,3426600,128.11
2010-03-29,129.30,129.95,128.26,128.59,4643000,127.93
2010-03-26,128.93,129.78,128.72,129.26,5550800,128.60
2010-03-25,129.36,130.73,129.13,129.24,7603200,128.58
2010-03-24,128.63,129.95,128.47,128.53,6669300,127.87
2010-03-23,127.94,129.43,127.64,129.37,5978500,128.71
2010-03-22,127.11,128.39,126.57,127.98,5651900,127.33
2010-03-19,128.84,128.93,126.78,127.71,10744000,127.06
2010-03-18,127.46,128.75,127.45,128.38,4954400,127.73
2010-03-17,128.90,128.93,127.36,127.76,6348400,127.11
2010-03-16,128.00,128.88,127.45,128.67,6134900,128.01
2010-03-15,127.40,128.34,127.28,127.83,4497700,127.18
2010-03-12,127.91,128.37,127.51,127.94,5169500,127.29
2010-03-11,125.71,127.81,125.71,127.60,7922200,126.95
2010-03-10,125.99,126.36,125.21,125.62,6916200,124.98
2010-03-09,126.27,126.29,125.20,125.55,7528800,124.91
2010-03-08,127.06,127.50,126.36,126.41,6199300,125.77
2010-03-05,127.17,127.55,127.04,127.25,6140200,126.60
2010-03-04,127.07,127.07,125.47,126.72,6032300,126.07
2010-03-03,127.73,128.02,126.68,126.88,6390000,126.23
2010-03-02,128.70,129.09,127.13,127.42,6013300,126.77
2010-03-01,127.50,128.83,127.47,128.57,4577700,127.91
2010-02-26,127.01,128.00,126.74,127.16,4784200,126.51
2010-02-25,126.05,127.24,125.57,127.07,5658700,126.42
2010-02-24,127.02,128.27,126.81,127.59,4782000,126.94
2010-02-23,126.48,127.66,126.00,126.46,4591900,125.82
2010-02-22,127.30,127.43,126.31,126.85,3808100,126.20
2010-02-19,127.35,128.06,126.87,127.19,6303100,126.54
2010-02-18,126.13,128.00,126.00,127.81,5525900,127.16
2010-02-17,125.50,126.53,125.21,126.33,5827400,125.69
2010-02-16,124.91,125.23,124.11,125.23,6777300,124.59
2010-02-12,123.01,124.05,121.61,124.00,8017700,123.37
2010-02-11,122.58,124.20,122.06,123.73,5089000,123.10
2010-02-10,122.94,123.65,122.21,122.81,5219100,122.18
2010-02-09,122.65,124.20,122.46,123.21,6044500,122.58
2010-02-08,123.15,123.22,121.74,121.88,5718500,121.26
2010-02-05,123.04,123.72,121.83,123.52,8617000,122.34
2010-02-04,125.19,125.44,122.90,123.00,9126900,121.83
2010-02-03,125.16,126.07,125.07,125.66,4177100,124.46
2010-02-02,124.79,125.81,123.95,125.53,5899900,124.33
2010-02-01,123.23,124.95,122.78,124.67,7242900,123.48
2010-01-29,124.32,125.00,121.90,122.39,11571200,121.22
2010-01-28,127.03,127.04,123.05,123.75,9622200,122.57
2010-01-27,125.82,126.96,125.04,126.33,8719200,125.13
2010-01-26,125.92,127.75,125.41,125.75,7135300,124.55
2010-01-25,126.33,126.89,125.71,126.12,5738500,124.92
2010-01-22,128.67,128.89,125.37,125.50,10088600,124.30
2010-01-21,130.47,130.69,128.06,129.00,9608600,127.77
2010-01-20,130.46,131.15,128.95,130.25,15197500,129.01
2010-01-19,131.63,134.25,131.56,134.14,13916200,132.86
2010-01-15,132.03,132.89,131.09,131.78,8494400,130.52
2010-01-14,130.55,132.71,129.91,132.31,7111800,131.05
2010-01-13,130.39,131.12,129.16,130.23,6455400,128.99
2010-01-12,129.03,131.33,129.00,130.51,8081500,129.27
2010-01-11,131.06,131.06,128.67,129.48,5730400,128.25
2010-01-08,129.07,130.92,129.05,130.85,4197200,129.60
2010-01-07,129.87,130.25,128.91,129.55,5840600,128.32
2010-01-06,130.68,131.49,129.81,130.00,5605300,128.76
2010-01-05,131.68,131.85,130.10,130.85,6841400,129.60
2010-01-04,131.18,132.97,130.85,132.45,6155300,131.19
2009-12-31,132.41,132.85,130.75,130.90,4223400,129.65
2009-12-30,131.23,132.68,130.68,132.57,3867000,131.31
2009-12-29,132.28,132.37,131.80,131.85,4184200,130.59
2009-12-28,130.99,132.31,130.72,132.31,5800400,131.05
2009-12-24,129.89,130.57,129.48,130.57,4265100,129.33
2009-12-23,129.70,130.00,129.30,130.00,4127600,128.76
2009-12-22,129.30,129.98,129.19,129.93,5535500,128.69
2009-12-21,127.80,128.94,127.68,128.65,4772500,127.42
2009-12-18,127.97,128.39,127.00,127.91,9106600,126.69
2009-12-17,128.00,128.56,127.12,127.40,5909500,126.19
2009-12-16,128.74,129.60,128.35,128.71,6372500,127.48
2009-12-15,129.46,129.86,127.94,128.49,7862600,127.27
2009-12-14,129.65,129.98,129.60,129.93,5201300,128.69
2009-12-11,129.01,129.77,128.71,129.68,6597200,128.44
2009-12-10,128.13,129.47,128.09,129.34,7077800,128.11
2009-12-09,126.70,128.39,126.11,128.39,6071900,127.17
