Date,Open,High,Low,Close,Volume,Adj Close
2010-05-24,21.55,22.00,21.50,21.76,91600,21.76
2010-05-21,21.08,21.69,20.76,21.51,97000,21.51
2010-05-20,21.90,21.90,20.63,21.36,154900,21.36
2010-05-19,22.37,22.42,22.02,22.15,74700,22.15
2010-05-18,22.60,22.67,22.33,22.37,72000,22.37
2010-05-17,22.25,22.53,21.88,22.50,46600,22.50
2010-05-14,22.42,22.63,22.29,22.35,71300,22.35
2010-05-13,22.60,22.87,22.60,22.75,35200,22.75
2010-05-12,22.72,22.75,22.50,22.68,47600,22.68
2010-05-11,22.14,22.50,22.10,22.50,51900,22.50
2010-05-10,22.61,22.73,21.96,22.15,79500,22.15
2010-05-07,22.60,22.60,21.13,22.00,101200,22.00
2010-05-06,23.18,23.18,18.95,21.92,189600,21.92
2010-05-05,22.84,23.08,22.72,23.03,75100,23.03
2010-05-04,22.96,23.10,22.96,23.00,35500,23.00
2010-05-03,23.19,23.19,23.04,23.12,50900,23.12
2010-04-30,23.01,23.13,22.88,23.00,52500,23.00
2010-04-29,23.00,23.08,22.94,23.01,57700,23.01
2010-04-28,23.04,23.04,22.87,23.00,38800,23.00
2010-04-27,22.85,22.98,22.83,22.98,56600,22.98
2010-04-26,22.90,23.03,22.82,22.96,47100,22.96
2010-04-23,22.84,22.90,22.81,22.89,36800,22.89
2010-04-22,22.77,22.89,22.77,22.89,53200,22.89
2010-04-21,23.10,23.10,22.87,22.87,41400,22.87
2010-04-20,22.88,23.04,22.84,23.02,67600,23.02
2010-04-19,22.70,22.91,22.70,22.88,45500,22.88
2010-04-16,22.91,23.08,22.74,22.80,67800,22.80
2010-04-15,23.00,23.07,22.93,23.00,63300,23.00
2010-04-14,22.96,23.01,22.83,22.98,94400,22.98
2010-04-13,22.77,22.91,22.70,22.90,75500,22.90
2010-04-12,22.91,22.98,22.76,22.86,108500,22.86
2010-04-09,23.06,23.23,22.85,22.93,84500,22.93
2010-04-08,22.90,23.10,22.82,23.05,71700,23.05
2010-04-07,22.61,23.03,22.61,22.94,81300,22.94
2010-04-06,23.23,23.24,22.96,23.02,72600,23.02
2010-04-05,23.32,23.37,23.11,23.17,85200,23.17
2010-04-01,23.58,23.58,23.20,23.32,91900,23.32
2010-03-31,23.29,23.55,23.29,23.55,53500,23.55
2010-03-30,23.54,23.54,23.33,23.36,60000,23.36
2010-03-29,23.62,23.70,23.45,23.53,34900,23.53
2010-03-26,23.66,23.75,23.56,23.59,46800,23.59
2010-03-25,23.77,23.81,23.65,23.79,70900,23.79
2010-03-24,23.70,23.84,23.60,23.83,116700,23.83
2010-03-23,23.70,23.82,23.70,23.71,54800,23.71
2010-03-22,23.62,23.80,23.48,23.73,73900,23.73
2010-03-19,23.53,23.62,23.42,23.60,50700,23.60
2010-03-18,23.40,23.46,23.36,23.45,70400,23.45
2010-03-17,23.57,23.61,23.37,23.39,127800,23.39
2010-03-16,23.71,23.71,23.44,23.44,64000,23.44
2010-03-15,23.70,23.70,23.44,23.53,56700,23.53
2010-03-12,23.40,23.56,23.24,23.56,61900,23.56
2010-03-11,23.33,23.38,23.19,23.32,91800,23.32
2010-03-10,23.34,23.53,23.30,23.37,120600,23.37
2010-03-09,23.74,23.88,23.69,23.88,94700,23.51
2010-03-08,23.85,23.85,23.72,23.81,83000,23.44
2010-03-05,23.64,23.85,23.57,23.75,98000,23.38
2010-03-04,23.41,23.69,23.41,23.66,76400,23.30
2010-03-03,23.43,23.45,23.29,23.45,107500,23.09
2010-03-02,23.11,23.49,23.11,23.33,131700,22.97
2010-03-01,22.95,23.16,22.88,23.11,158900,22.75
2010-02-26,22.86,22.95,22.77,22.83,58700,22.48
2010-02-25,22.71,22.88,22.71,22.75,70400,22.40
2010-02-24,22.80,22.91,22.74,22.87,94600,22.52
2010-02-23,22.78,22.78,22.58,22.78,161800,22.43
2010-02-22,22.51,22.71,22.51,22.69,91200,22.34
2010-02-19,22.63,22.77,22.61,22.70,88200,22.35
2010-02-18,22.75,22.79,22.57,22.74,134600,22.39
2010-02-17,22.60,22.67,22.55,22.67,88800,22.32
2010-02-16,22.44,22.59,22.44,22.52,101000,22.17
2010-02-12,22.36,22.59,22.35,22.56,57200,22.21
2010-02-11,22.45,22.50,22.35,22.50,175800,22.15
2010-02-10,22.40,22.50,22.35,22.45,60600,22.10
