Date,Open,High,Low,Close,Volume,Adj Close
2010-05-24,51.21,51.87,51.02,51.46,8416300,51.46
2010-05-21,50.84,51.72,50.30,51.59,17116700,51.59
2010-05-20,52.50,52.50,51.53,51.54,14645200,51.54
2010-05-19,53.00,53.35,52.46,53.12,10559600,53.12
2010-05-18,53.70,53.72,53.08,53.10,10217800,53.10
2010-05-17,53.48,53.55,52.85,53.41,8696700,53.41
2010-05-14,53.36,53.65,52.86,53.34,12934100,53.34
2010-05-13,53.95,54.00,53.45,53.49,9659900,53.49
2010-05-12,53.80,54.10,53.42,54.02,12002700,54.02
2010-05-11,53.62,54.07,53.50,53.61,11582600,53.61
2010-05-10,53.85,54.09,53.25,54.04,17655700,54.04
2010-05-07,52.19,52.84,51.54,52.67,21767800,52.67
2010-05-06,53.67,54.20,51.21,52.30,23956000,52.30
2010-05-05,53.43,53.90,53.20,53.66,11835200,53.66
2010-05-04,53.39,53.80,53.05,53.18,11641400,53.18
2010-05-03,53.71,53.95,53.27,53.76,8061700,53.76
2010-04-30,53.62,53.96,53.40,53.45,9674800,53.45
2010-04-29,53.62,54.19,53.56,53.74,8718800,53.74
2010-04-28,53.01,53.57,52.56,53.36,12377300,53.36
2010-04-27,53.66,53.86,52.84,52.87,13800200,52.87
2010-04-26,54.00,54.35,53.73,53.73,8945400,53.73
2010-04-23,54.46,54.46,53.74,53.88,10837700,53.88
2010-04-22,54.14,54.51,54.00,54.31,10147800,54.31
2010-04-21,54.57,54.58,54.00,54.19,9631600,54.19
2010-04-20,55.22,55.29,54.32,54.47,16254400,54.47
2010-04-19,54.98,55.32,54.92,55.32,13234300,55.32
2010-04-16,54.23,55.14,54.17,54.97,17537800,54.97
2010-04-15,54.76,54.77,54.13,54.26,10175500,54.26
2010-04-14,55.03,55.06,54.65,54.95,6932600,54.95
2010-04-13,54.68,55.08,54.65,55.02,7527500,55.02
2010-04-12,54.65,54.86,54.51,54.76,8465200,54.76
2010-04-09,53.91,54.61,53.85,54.59,10320300,54.59
2010-04-08,53.78,53.78,53.44,53.76,9733400,53.76
2010-04-07,54.30,54.30,53.56,53.82,12030400,53.82
2010-04-06,54.84,54.84,54.22,54.29,8802100,54.29
2010-04-05,55.56,55.56,54.65,54.86,9595900,54.86
2010-04-01,55.36,55.43,55.13,55.30,7173000,55.30
2010-03-31,54.79,55.29,54.50,55.00,11461000,55.00
2010-03-30,54.90,55.05,54.61,54.87,6815800,54.87
2010-03-29,54.80,54.96,54.67,54.77,6926800,54.77
2010-03-26,54.79,54.97,54.50,54.65,8138400,54.65
2010-03-25,54.91,55.18,54.65,54.80,8319400,54.80
2010-03-24,55.22,55.36,54.61,54.62,8526300,54.62
2010-03-23,54.71,55.34,54.41,55.30,9540600,55.30
2010-03-22,54.49,54.85,54.40,54.54,9063700,54.54
2010-03-19,54.14,55.06,53.60,54.75,21804600,54.75
2010-03-18,53.90,54.04,53.74,53.95,11748100,53.95
2010-03-17,53.82,53.99,53.60,53.84,13037200,53.84
2010-03-16,53.80,53.87,53.57,53.70,11143900,53.70
2010-03-15,53.73,53.84,53.37,53.65,11937000,53.65
2010-03-12,53.69,53.77,53.26,53.35,11167200,53.35
2010-03-11,53.78,53.78,53.00,53.60,14565300,53.60
2010-03-10,54.26,54.37,54.04,54.20,10787400,53.76
2010-03-09,54.34,54.59,53.95,54.18,11535000,53.74
2010-03-08,54.72,54.87,54.32,54.46,9457800,54.02
2010-03-05,54.69,54.95,54.36,54.70,12119300,54.26
2010-03-04,54.70,55.04,54.32,54.47,14491600,54.03
2010-03-03,53.30,54.12,53.18,53.93,13287100,53.49
2010-03-02,53.38,53.69,53.15,53.30,12253100,52.87
2010-03-01,53.22,53.37,52.79,53.27,19724900,52.84
2010-02-26,53.09,53.09,52.23,52.72,31547700,52.29
2010-02-25,53.14,53.58,52.61,53.12,31824300,52.69
2010-02-24,55.00,55.18,54.69,55.16,7235300,54.71
2010-02-23,55.41,55.60,54.79,54.83,7417800,54.38
2010-02-22,55.80,55.86,55.27,55.38,6743800,54.93
2010-02-19,55.80,55.90,55.18,55.72,9472400,55.27
2010-02-18,55.15,55.92,55.15,55.91,8632300,55.46
2010-02-17,54.81,55.55,54.76,55.33,8532300,54.88
2010-02-16,54.51,54.82,53.93,54.82,9669700,54.37
2010-02-12,53.92,54.40,53.62,53.98,12320000,53.54
2010-02-11,53.60,54.33,53.27,54.22,13163600,53.78
2010-02-10,54.60,54.60,53.17,53.79,9358800,53.35
2010-02-09,53.69,54.98,53.37,54.01,15747500,53.57
2010-02-08,53.27,53.27,52.57,52.65,8360600,52.22
2010-02-05,53.24,53.43,52.53,53.09,14642500,52.66
2010-02-04,54.55,54.68,53.40,53.43,10671400,53.00
2010-02-03,54.92,54.96,54.53,54.87,7949700,54.42
2010-02-02,54.53,55.21,54.15,55.05,8444300,54.60
2010-02-01,54.51,54.56,54.00,54.38,7258800,53.94
2010-01-29,54.44,54.94,53.90,54.25,11073400,53.81
2010-01-28,54.71,54.84,54.13,54.18,10452600,53.74
2010-01-27,54.00,54.66,53.70,54.51,10207400,54.07
2010-01-26,54.07,54.50,53.87,54.14,7757500,53.70
2010-01-25,54.49,54.54,53.88,54.35,8426600,53.91
2010-01-22,54.35,54.86,53.98,54.24,11775700,53.80
2010-01-21,55.55,55.58,54.19,54.37,13698400,53.93
2010-01-20,56.16,56.39,55.29,55.50,9405100,55.05
2010-01-19,56.22,56.49,55.92,56.42,7307700,55.96
2010-01-15,56.95,57.35,56.04,56.29,13730400,55.83
2010-01-14,57.04,57.25,56.77,57.13,6196300,56.67
2010-01-13,56.86,57.43,56.69,57.03,7578700,56.57
2010-01-12,56.09,57.00,56.06,56.88,11634900,56.42
2010-01-11,55.15,56.45,54.80,56.27,14321200,55.81
2010-01-08,55.46,55.64,54.75,55.15,14356200,54.70
2010-01-07,56.33,56.37,55.75,56.19,6617300,55.73
2010-01-06,56.35,56.44,55.98,56.33,9632300,55.87
2010-01-05,56.85,56.99,56.14,56.35,11586200,55.89
2010-01-04,57.16,57.22,56.90,57.04,6935200,56.58
2009-12-31,57.58,57.75,56.93,57.00,5424400,56.54
2009-12-30,57.74,57.90,57.48,57.68,4812600,57.21
2009-12-29,57.45,57.97,57.45,57.74,4775500,57.27
2009-12-28,57.41,57.58,57.28,57.44,3839800,56.97
2009-12-24,57.49,57.51,57.05,57.44,2907100,56.97
2009-12-23,57.20,57.50,56.99,57.29,5468800,56.82
2009-12-22,57.15,57.58,57.09,57.27,6055900,56.81
2009-12-21,57.02,57.61,56.90,57.18,7308100,56.72
2009-12-18,57.26,57.26,56.31,56.92,18868900,56.46
2009-12-17,58.26,58.27,56.94,56.98,12736000,56.52
2009-12-16,58.95,59.20,58.38,58.42,9802500,57.95
2009-12-15,59.15,59.19,58.85,59.06,7649900,58.58
2009-12-14,59.11,59.45,58.92,59.04,8335100,58.56
2009-12-11,58.60,59.40,58.60,59.11,15217800,58.63
2009-12-10,57.98,58.92,57.92,58.58,15377700,58.10
2009-12-09,57.45,57.85,57.03,57.83,9747300,57.36
2009-12-08,57.53,57.74,57.07,57.68,9145400,57.21
2009-12-07,56.96,58.10,56.70,57.87,8352700,57.40
2009-12-04,57.60,58.03,56.81,57.49,12463600,57.02
2009-12-03,58.09,58.09,57.16,57.27,10120900,56.81
2009-12-02,57.83,58.20,57.68,57.96,6799700,57.49
2009-12-01,57.59,58.26,57.38,58.08,7679900,57.61
2009-11-30,57.29,57.32,56.80,57.20,9442400,56.74
2009-11-27,56.98,57.53,56.40,57.18,7837700,56.72
2009-11-25,58.37,58.37,57.99,58.11,6690300,57.23
2009-11-24,58.43,58.43,57.86,58.19,7790700,57.31
2009-11-23,57.71,58.35,57.71,58.24,9271200,57.36
2009-11-20,56.69,57.69,56.69,57.48,10348800,56.61
2009-11-19,56.24,56.98,56.04,56.88,9077200,56.02
2009-11-18,56.93,57.00,56.29,56.58,7626600,55.72
2009-11-17,56.64,56.92,56.45,56.87,5672000,56.01
2009-11-16,56.65,57.09,56.43,56.74,8119700,55.88
2009-11-13,56.06,56.70,55.90,56.46,11675500,55.61
2009-11-12,56.11,56.38,55.85,55.94,7598000,55.09
2009-11-11,56.06,56.27,55.74,56.13,7152300,55.28
2009-11-10,55.35,56.19,55.25,55.81,8069700,54.97
2009-11-09,54.59,55.50,54.17,55.48,9615200,54.64
2009-11-06,53.97,54.50,53.81,54.49,5340200,53.67
2009-11-05,53.51,54.48,53.45,54.40,8152900,53.58
2009-11-04,53.42,54.00,53.03,53.49,7057200,52.68
2009-11-03,53.65,53.68,52.77,53.12,8157400,52.32
2009-11-02,53.51,53.92,53.16,53.72,9301800,52.91
2009-10-30,54.06,54.27,53.11,53.31,10906100,52.50
2009-10-29,53.52,54.11,53.15,54.09,7403500,53.27
2009-10-28,53.25,54.00,53.23,53.51,8008600,52.70
2009-10-27,53.24,53.92,53.09,53.46,7367600,52.65
2009-10-26,53.08,54.30,52.71,53.23,10783800,52.43
2009-10-23,53.91,54.15,53.12,53.24,10854700,52.44
2009-10-22,53.58,54.27,53.41,54.15,8180500,53.33
2009-10-21,53.82,54.69,53.70,54.07,8255600,53.25
