Date,Open,High,Low,Close,Volume,Adj Close
2010-05-24,15.28,15.38,15.15,15.22,54077800,15.22
2010-05-21,14.99,15.42,14.96,15.40,102435700,15.40
2010-05-20,15.54,15.67,15.22,15.23,112458800,15.23
2010-05-19,15.75,15.94,15.60,15.82,82052200,15.82
2010-05-18,16.14,16.25,15.78,15.81,73455900,15.81
2010-05-17,16.20,16.27,15.78,16.11,98820100,16.11
2010-05-14,16.53,16.54,16.06,16.20,62673300,16.20
2010-05-13,16.84,16.94,16.54,16.56,67786700,16.56
2010-05-12,16.98,17.09,16.72,16.90,53519700,16.90
2010-05-11,16.85,17.19,16.80,17.01,53957500,17.01
2010-05-10,16.90,17.25,16.84,17.00,81597000,17.00
2010-05-07,16.70,16.81,16.38,16.46,106900700,16.46
2010-05-06,17.16,17.21,15.85,16.74,119231000,16.74
2010-05-05,16.97,17.34,16.96,17.18,99300000,17.18
2010-05-04,17.15,17.39,17.06,17.26,120901500,17.08
2010-05-03,16.80,17.00,16.62,16.91,71969100,16.73
2010-04-30,16.99,17.00,16.68,16.72,51071200,16.55
2010-04-29,16.63,17.01,16.63,16.86,67504500,16.68
2010-04-28,16.47,16.64,16.39,16.53,60657000,16.36
2010-04-27,16.71,16.85,16.40,16.46,91545300,16.29
2010-04-26,16.86,16.97,16.70,16.82,83473300,16.64
2010-04-23,16.43,17.01,16.40,16.91,98305000,16.73
2010-04-22,16.50,16.56,16.33,16.48,69718100,16.31
2010-04-21,16.75,16.82,16.44,16.60,68568500,16.43
2010-04-20,16.83,16.87,16.73,16.76,56513800,16.59
2010-04-19,16.74,16.82,16.60,16.79,65927100,16.61
2010-04-16,16.98,17.01,16.80,16.80,75517900,16.62
2010-04-15,17.05,17.16,16.96,16.99,59603000,16.81
2010-04-14,17.18,17.18,16.94,17.07,95889700,16.89
2010-04-13,17.21,17.25,17.10,17.18,66164200,17.00
2010-04-12,17.32,17.33,17.19,17.29,49243600,17.11
2010-04-09,17.20,17.31,17.17,17.25,44000600,17.07
2010-04-08,17.07,17.16,17.02,17.14,52796700,16.96
2010-04-07,17.02,17.12,16.99,17.07,84536900,16.89
2010-04-06,16.94,17.05,16.86,16.96,77606700,16.78
2010-04-05,17.14,17.14,16.85,16.90,68750200,16.72
2010-04-01,17.21,17.28,16.99,17.08,69116800,16.90
2010-03-31,17.18,17.27,17.09,17.15,59031100,16.97
2010-03-30,17.32,17.39,17.13,17.26,41833000,17.08
2010-03-29,17.20,17.34,17.14,17.28,48742500,17.10
2010-03-26,17.36,17.38,17.10,17.14,54182300,16.96
2010-03-25,17.74,17.78,17.35,17.39,48204700,17.21
2010-03-24,17.61,17.71,17.54,17.61,73930300,17.43
2010-03-23,17.28,17.58,17.20,17.54,73917100,17.36
2010-03-22,17.00,17.25,16.98,17.15,71077900,16.97
2010-03-19,17.30,17.30,16.80,16.91,113217100,16.73
2010-03-18,17.34,17.35,17.12,17.23,50905100,17.05
2010-03-17,17.26,17.31,17.16,17.21,56649400,17.03
2010-03-16,17.32,17.38,17.11,17.26,53166200,17.08
2010-03-15,17.03,17.28,16.99,17.26,43937900,17.08
2010-03-12,17.19,17.23,16.99,17.08,85448500,16.90
2010-03-11,17.12,17.32,17.10,17.29,48812400,17.11
2010-03-10,17.21,17.35,17.11,17.15,56301200,16.97
2010-03-09,17.27,17.32,17.15,17.23,54543900,17.05
2010-03-08,17.59,17.60,17.27,17.35,48738800,17.17
2010-03-05,17.38,17.50,17.23,17.48,64708400,17.30
2010-03-04,17.35,17.40,17.22,17.33,56917200,17.15
2010-03-03,17.45,17.60,17.21,17.32,109064000,17.14
2010-03-02,17.87,17.88,17.55,17.60,64656300,17.42
2010-03-01,17.61,17.86,17.58,17.75,45623500,17.56
2010-02-26,17.69,17.81,17.50,17.55,59237700,17.37
2010-02-25,17.57,17.73,17.43,17.69,53458000,17.51
2010-02-24,17.74,18.02,17.60,17.81,67722500,17.62
2010-02-23,17.84,17.94,17.61,17.67,47873200,17.49
2010-02-22,17.98,18.15,17.78,17.95,58001900,17.76
2010-02-19,17.82,18.10,17.73,17.99,50657800,17.80
2010-02-18,17.68,17.75,17.55,17.73,57118500,17.55
2010-02-17,17.85,17.86,17.53,17.67,58254100,17.49
2010-02-16,17.96,18.08,17.61,17.72,63281800,17.54
2010-02-12,17.85,17.89,17.62,17.80,50341800,17.61
2010-02-11,17.75,18.03,17.62,17.87,54692600,17.68
2010-02-10,17.92,17.98,17.63,17.74,59957500,17.55
2010-02-09,17.87,18.15,17.65,17.88,70972000,17.69
2010-02-08,17.91,18.00,17.72,17.84,55626200,17.65
2010-02-05,17.91,18.19,17.60,17.96,90398000,17.77
2010-02-04,18.35,18.44,18.01,18.03,94261900,17.84
2010-02-03,18.69,18.85,18.42,18.62,113996100,18.43
2010-02-02,18.87,19.33,18.77,19.24,67611300,18.86
2010-02-01,18.79,18.99,18.70,18.79,39455700,18.42
2010-01-29,18.70,18.97,18.52,18.66,56044700,18.29
2010-01-28,19.07,19.10,18.61,18.63,50939800,18.26
2010-01-27,18.78,19.09,18.66,19.00,54609400,18.63
2010-01-26,18.72,18.90,18.63,18.78,43600600,18.41
2010-01-25,19.24,19.25,18.84,18.85,49272400,18.48
2010-01-22,19.26,19.92,18.90,18.96,61703000,18.59
2010-01-21,20.04,20.15,19.17,19.24,77175700,18.86
2010-01-20,20.05,20.36,19.87,19.94,79243800,19.55
2010-01-19,19.53,20.07,19.50,20.00,78332300,19.61
2010-01-15,19.43,19.68,19.26,19.49,76622900,19.11
2010-01-14,19.20,19.50,19.13,19.38,47267900,19.00
2010-01-13,18.87,19.30,18.87,19.21,59514300,18.83
2010-01-12,18.80,18.99,18.64,18.77,41273100,18.40
2010-01-11,18.83,18.95,18.67,18.83,32447500,18.46
2010-01-08,18.62,18.71,18.52,18.68,30407700,18.31
2010-01-07,18.64,18.67,18.46,18.53,39428000,18.17
2010-01-06,18.66,18.81,18.51,18.60,41405100,18.23
2010-01-05,18.92,18.93,18.55,18.66,43372800,18.29
2010-01-04,18.27,18.94,18.24,18.93,52086000,18.56
2009-12-31,18.39,18.48,18.19,18.19,25676600,17.83
2009-12-30,18.48,18.59,18.38,18.50,18291900,18.14
2009-12-29,18.61,18.71,18.54,18.56,19666700,18.19
2009-12-28,18.68,18.72,18.53,18.63,19448900,18.26
2009-12-24,18.67,18.69,18.51,18.60,12935300,18.23
2009-12-23,18.76,18.80,18.53,18.58,27963400,18.21
2009-12-22,18.80,18.87,18.54,18.61,35894100,18.24
2009-12-21,18.40,18.89,18.37,18.61,39160100,18.24
2009-12-18,18.35,18.48,18.25,18.30,62248400,17.94
2009-12-17,18.38,18.38,18.06,18.22,44296900,17.86
2009-12-16,18.37,18.55,18.31,18.41,40041800,18.05
2009-12-15,18.26,18.46,18.16,18.29,34626700,17.93
2009-12-14,18.47,18.53,18.19,18.40,51231200,18.04
2009-12-11,18.37,18.48,18.26,18.30,30886500,17.94
2009-12-10,18.47,18.50,18.25,18.32,36292600,17.96
2009-12-09,18.03,18.26,17.87,18.24,73225600,17.88
2009-12-08,18.05,18.07,17.63,17.76,79981600,17.41
2009-12-07,18.49,18.58,18.04,18.06,76050600,17.70
2009-12-04,18.83,18.95,18.44,18.49,50050800,18.13
2009-12-03,18.83,18.88,18.59,18.64,41027400,18.27
2009-12-02,18.94,18.99,18.49,18.74,47655300,18.37
2009-12-01,18.54,18.85,18.17,18.85,71095700,18.48
2009-11-30,18.31,18.45,18.17,18.17,59261700,17.81
2009-11-27,18.08,18.41,18.00,18.25,22830300,17.89
2009-11-25,18.44,18.62,18.25,18.59,42137100,18.22
2009-11-24,18.61,18.63,18.16,18.31,58547900,17.95
2009-11-23,18.49,18.90,18.47,18.53,73608300,18.17
2009-11-20,18.15,18.48,18.12,18.36,60970500,18.00
2009-11-19,18.07,18.17,17.82,18.11,41221900,17.75
2009-11-18,17.93,18.24,17.81,18.19,48809600,17.83
2009-11-17,17.85,17.95,17.73,17.94,34063300,17.59
2009-11-16,17.65,18.00,17.63,17.94,41132900,17.59
2009-11-13,17.72,17.77,17.51,17.59,36855300,17.24
2009-11-12,17.60,17.86,17.48,17.62,39674700,17.27
2009-11-11,17.67,17.82,17.51,17.62,35433700,17.27
2009-11-10,17.32,17.74,17.23,17.56,50976300,17.21
2009-11-09,17.10,17.43,17.03,17.43,46174200,17.09
2009-11-06,17.01,17.02,16.82,16.96,36104200,16.63
2009-11-05,17.11,17.25,16.82,17.02,55656400,16.68
2009-11-04,16.93,17.21,16.87,16.93,52384600,16.60
2009-11-03,16.90,16.95,16.72,16.89,52721500,16.40
2009-11-02,17.05,17.20,16.83,16.95,61228500,16.46
2009-10-30,17.46,17.49,16.98,17.03,65456900,16.54
2009-10-29,17.24,17.56,17.11,17.55,57190900,17.04
2009-10-28,17.21,17.43,17.14,17.21,59927600,16.71
2009-10-27,17.28,17.43,17.19,17.26,59177700,16.76
2009-10-26,17.41,17.57,17.05,17.12,64462800,16.62
2009-10-23,17.49,17.54,17.14,17.25,61134800,16.75
2009-10-22,17.38,17.60,17.30,17.56,57368400,17.05
2009-10-21,18.00,18.03,17.41,17.41,97583800,16.91
2009-10-20,18.28,18.43,17.74,17.93,90159400,17.41
2009-10-19,17.65,18.14,17.58,17.98,93358100,17.46
2009-10-16,17.63,17.89,17.56,17.77,67501000,17.26
2009-10-15,17.37,17.74,17.29,17.66,124015000,17.15
2009-10-14,16.87,17.60,16.65,17.37,136154100,16.87
2009-10-13,16.89,16.99,16.72,16.78,64568600,16.29
2009-10-12,16.92,17.13,16.82,17.10,59493100,16.60
2009-10-09,16.69,17.03,16.61,16.92,48074000,16.43
2009-10-08,16.92,16.94,16.64,16.70,44713500,16.22
2009-10-07,16.74,16.84,16.64,16.69,41996500,16.21
2009-10-06,16.60,16.98,16.50,16.78,55169900,16.29
2009-10-05,16.17,16.50,16.07,16.40,41328300,15.92
2009-10-02,16.36,16.52,16.08,16.15,50392200,15.68
2009-10-01,16.50,16.53,16.28,16.31,54670900,15.84
2009-09-30,16.88,16.89,16.44,16.55,62288300,16.07
2009-09-29,16.57,16.94,16.45,16.77,66202500,16.28
2009-09-28,16.44,16.74,16.41,16.57,29392900,16.09
2009-09-25,16.43,16.63,16.38,16.40,36334100,15.92
2009-09-24,16.44,16.51,16.29,16.44,51770400,15.96
2009-09-23,16.86,16.88,16.41,16.43,48134200,15.95
2009-09-22,16.85,16.93,16.60,16.80,59955000,16.31
2009-09-21,16.54,16.71,16.47,16.64,36038500,16.16
2009-09-18,16.47,16.80,16.37,16.51,67077200,16.03
2009-09-17,16.36,16.61,16.26,16.32,42204100,15.85
2009-09-16,16.36,16.44,16.16,16.42,45825400,15.94
2009-09-15,16.39,16.39,16.11,16.21,40171800,15.74
2009-09-14,16.21,16.44,16.10,16.36,34279400,15.89
2009-09-11,16.40,16.47,16.24,16.25,31007000,15.78
2009-09-10,16.22,16.40,16.22,16.34,45994100,15.87
2009-09-09,16.26,16.29,16.09,16.17,40226500,15.70
2009-09-08,16.39,16.40,16.11,16.21,37826500,15.74
2009-09-04,16.00,16.41,15.99,16.39,29571900,15.92
2009-09-03,16.05,16.22,15.95,16.08,35503800,15.61
2009-09-02,16.35,16.50,16.13,16.28,39958300,15.81
