Date,Open,High,Low,Close,Volume,Adj Close
2010-05-21,3.58,3.71,3.50,3.61,215000,3.61
2010-05-20,3.94,3.98,3.63,3.63,321200,3.63
2010-05-19,4.21,4.25,3.95,3.99,155700,3.99
2010-05-18,4.42,4.49,4.09,4.21,130600,4.21
2010-05-17,4.33,4.55,4.26,4.42,95100,4.42
2010-05-14,4.38,4.43,4.15,4.25,104100,4.25
2010-05-13,4.48,4.52,4.42,4.44,109100,4.44
2010-05-12,4.39,4.52,4.32,4.50,150600,4.50
2010-05-11,4.06,4.49,4.01,4.34,157900,4.34
2010-05-10,4.02,4.05,3.92,4.05,148500,4.05
2010-05-07,4.06,4.09,3.78,3.86,145700,3.86
2010-05-06,4.24,4.49,3.76,4.06,269100,4.06
2010-05-05,4.24,4.29,4.06,4.25,125000,4.25
2010-05-04,4.38,4.38,4.22,4.24,67000,4.24
2010-05-03,4.21,4.45,4.18,4.45,149100,4.45
2010-04-30,4.48,4.48,4.12,4.18,268200,4.18
2010-04-29,4.40,4.50,4.40,4.45,205900,4.45
2010-04-28,4.42,4.48,4.36,4.38,50300,4.38
2010-04-27,4.57,4.57,4.33,4.38,167600,4.38
2010-04-26,4.47,4.65,4.38,4.61,272800,4.61
2010-04-23,4.52,4.52,4.34,4.46,77500,4.46
2010-04-22,4.21,4.60,4.21,4.49,152700,4.49
2010-04-21,4.21,4.37,4.21,4.32,174900,4.32
2010-04-20,4.24,4.25,4.20,4.22,61500,4.22
2010-04-19,4.15,4.22,4.04,4.22,72900,4.22
2010-04-16,4.36,4.41,4.14,4.15,234100,4.15
2010-04-15,4.43,4.45,4.31,4.36,245300,4.36
2010-04-14,4.22,4.47,4.20,4.41,180900,4.41
2010-04-13,4.10,4.20,4.08,4.19,218100,4.19
2010-04-12,3.91,4.11,3.84,4.10,178600,4.10
2010-04-09,3.81,3.95,3.72,3.93,179900,3.93
2010-04-08,3.74,3.78,3.71,3.78,79300,3.78
2010-04-07,3.66,3.77,3.63,3.76,200800,3.76
2010-04-06,3.80,3.83,3.58,3.66,340000,3.66
2010-04-05,3.65,3.80,3.60,3.79,71600,3.79
2010-04-01,3.69,3.71,3.62,3.66,89500,3.66
2010-03-31,3.70,3.75,3.65,3.66,82300,3.66
2010-03-30,3.66,3.73,3.61,3.73,57800,3.73
2010-03-29,3.68,3.70,3.56,3.65,89700,3.65
2010-03-26,3.72,3.75,3.66,3.68,83100,3.68
2010-03-25,3.76,3.80,3.70,3.72,108000,3.72
2010-03-24,3.70,3.78,3.67,3.76,144600,3.76
