Date,Open,High,Low,Close,Volume,Adj Close
2010-05-24,23.00,23.40,22.98,23.08,10600,23.08
2010-05-21,23.32,23.39,22.82,23.25,87200,23.25
2010-05-20,23.03,23.60,22.50,23.42,69800,23.42
2010-05-19,23.80,23.80,23.10,23.37,54000,23.37
2010-05-18,24.65,24.65,23.68,23.80,107000,23.80
2010-05-17,25.30,25.50,23.78,24.25,230400,24.25
2010-05-14,25.40,25.49,24.55,25.35,38000,25.35
2010-05-13,23.70,26.00,23.70,25.87,273100,25.87
2010-05-12,24.89,24.89,23.05,24.10,399100,24.10
2010-05-11,23.31,23.70,23.12,23.52,33600,23.52
2010-05-10,24.00,24.00,22.85,23.53,158000,23.53
2010-05-07,22.55,23.00,22.25,22.77,243100,22.77
2010-05-06,23.05,23.18,22.46,22.80,447600,22.80
2010-05-05,23.25,23.99,23.00,23.40,388100,23.40
2010-05-04,23.31,23.85,22.52,23.50,192200,23.50
2010-05-03,23.25,24.00,23.25,23.55,931400,23.55
2010-04-30,22.50,25.00,22.25,23.25,5391000,23.25
