Date,Open,High,Low,Close,Volume,Adj Close
2010-05-24,27.77,27.82,27.39,27.49,19312900,27.49
2010-05-21,27.37,27.98,27.32,27.96,34899200,27.96
2010-05-20,28.28,28.28,27.75,27.76,29541800,27.76
2010-05-19,28.31,28.62,28.29,28.51,23888700,28.51
2010-05-18,28.70,29.01,28.38,28.42,21463300,28.42
2010-05-17,28.48,28.71,28.31,28.66,20895700,28.66
2010-05-14,28.59,28.85,28.35,28.51,23075400,28.51
2010-05-13,28.69,28.96,28.54,28.69,13277300,28.69
2010-05-12,28.55,28.78,28.45,28.70,19403900,28.70
2010-05-11,28.46,28.65,28.25,28.40,23242400,28.40
2010-05-10,28.93,29.00,28.28,28.61,25955000,28.61
2010-05-07,27.98,28.71,27.80,28.19,36477300,28.19
2010-05-06,28.61,28.72,26.49,28.01,39492600,28.01
2010-05-05,28.64,28.93,28.58,28.68,16270400,28.68
2010-05-04,29.14,29.16,28.53,28.75,34504100,28.75
2010-05-03,29.16,29.44,29.11,29.29,14574700,29.29
2010-04-30,29.20,29.31,28.89,28.90,21916200,28.90
2010-04-29,29.22,29.32,29.12,29.22,14873800,29.22
2010-04-28,28.85,29.25,28.72,29.12,26604300,29.12
2010-04-27,28.89,28.95,28.60,28.75,24950000,28.75
2010-04-26,28.98,29.10,28.84,28.94,16345600,28.94
2010-04-23,29.07,29.07,28.82,29.05,24451300,29.05
2010-04-22,29.12,29.35,28.91,29.28,24903700,29.28
2010-04-21,29.79,29.83,29.43,29.56,22652500,29.56
2010-04-20,29.79,29.83,29.54,29.76,14941400,29.76
2010-04-19,29.50,29.76,29.45,29.73,17799900,29.73
2010-04-16,29.49,29.78,29.48,29.58,24672700,29.58
2010-04-15,29.84,29.84,29.50,29.54,27064400,29.54
2010-04-14,30.05,30.05,29.65,29.85,41460700,29.85
2010-04-13,30.00,30.15,29.76,30.07,19013700,30.07
2010-04-12,30.05,30.20,29.90,29.94,18413600,29.94
2010-04-09,30.19,30.24,29.93,30.08,19708500,30.08
2010-04-08,30.15,30.28,29.86,30.16,29615000,30.16
2010-04-07,30.78,30.78,30.09,30.24,27204600,30.24
2010-04-06,31.36,31.36,31.12,31.20,21093400,30.73
