Date,Open,High,Low,Close,Volume,Adj Close
2010-05-21,50.73,51.37,50.51,51.37,24548600,51.37
2010-05-20,52.37,52.96,51.30,51.30,27256000,51.30
2010-05-19,53.53,53.76,52.79,53.04,20418700,53.04
2010-05-18,53.32,54.45,53.20,53.71,32227700,53.71
2010-05-17,52.41,52.92,52.04,52.73,16945400,52.73
2010-05-14,52.41,52.70,52.02,52.12,18648300,52.12
2010-05-13,52.63,52.97,52.36,52.40,12458000,52.40
2010-05-12,52.50,52.56,52.13,52.48,13610100,52.48
2010-05-11,52.35,52.77,52.17,52.46,19623300,52.16
2010-05-10,53.06,53.24,51.83,52.58,27090300,52.28
2010-05-07,53.04,53.62,51.80,52.40,28945100,52.10
2010-05-06,54.35,54.78,51.53,53.23,24067500,52.92
2010-05-05,54.11,54.95,53.82,54.77,16609900,54.45
2010-05-04,53.59,54.57,53.55,54.02,18670900,53.71
2010-05-03,53.88,53.95,53.47,53.74,12301000,53.43
2010-04-30,53.82,54.15,53.64,53.64,16279400,53.33
2010-04-29,53.66,54.23,53.55,53.70,13320000,53.39
2010-04-28,53.92,54.10,53.52,53.61,14904200,53.30
2010-04-27,53.60,54.42,53.53,54.04,19174600,53.73
2010-04-26,54.53,54.70,54.01,54.04,14751000,53.73
2010-04-23,54.47,54.61,53.92,54.53,16595800,54.22
2010-04-22,54.37,54.65,54.15,54.49,10921200,54.18
2010-04-21,54.44,54.57,54.18,54.47,11499300,54.16
2010-04-20,54.49,54.82,54.38,54.52,9092300,54.21
2010-04-19,54.00,54.48,54.00,54.39,11315600,54.08
2010-04-16,54.11,54.59,53.84,54.11,19232000,53.80
2010-04-15,54.15,54.36,53.92,54.13,17659300,53.82
2010-04-14,54.63,54.91,54.34,54.64,14686900,54.32
2010-04-13,54.91,55.21,54.66,54.72,12851100,54.40
2010-04-12,55.02,55.10,54.58,55.02,11954300,54.70
2010-04-09,55.38,55.38,54.63,55.07,12535100,54.75
2010-04-08,55.29,55.70,55.16,55.38,11139700,55.06
2010-04-07,55.50,55.90,55.14,55.28,12935200,54.96
2010-04-06,55.44,55.63,55.29,55.53,9567200,55.21
2010-04-05,55.70,55.73,55.22,55.49,10748800,55.17
2010-04-01,55.75,55.85,55.17,55.49,11788100,55.17
2010-03-31,55.81,55.90,55.50,55.60,9966900,55.28
2010-03-30,55.78,56.05,55.66,55.91,6941300,55.59
2010-03-29,55.50,55.75,55.43,55.74,9776500,55.42
2010-03-26,55.61,55.96,55.47,55.51,9947300,55.19
2010-03-25,55.63,55.99,55.60,55.61,9793100,55.29
2010-03-24,55.73,56.00,55.43,55.58,8698900,55.26
2010-03-23,55.63,56.00,55.61,55.89,9369300,55.57
2010-03-22,55.31,55.94,55.13,55.62,9874100,55.30
2010-03-19,56.03,56.27,55.15,55.34,17183500,55.02
2010-03-18,55.89,55.95,55.54,55.94,9472200,55.62
2010-03-17,56.05,56.13,55.66,55.92,12495200,55.60
2010-03-16,55.88,56.27,55.60,55.99,18453000,55.67
2010-03-15,54.39,55.54,54.35,55.42,24373900,55.10
2010-03-12,54.16,54.24,53.79,53.90,10477900,53.59
2010-03-11,53.64,53.99,53.53,53.97,10673900,53.66
2010-03-10,53.67,54.02,53.53,53.63,12697000,53.32
2010-03-09,54.12,54.50,53.92,54.06,12584600,53.45
2010-03-08,54.01,54.28,53.93,54.15,7556700,53.54
2010-03-05,53.97,54.17,53.50,54.14,11375100,53.53
2010-03-04,54.02,54.09,53.75,53.96,11211800,53.35
2010-03-03,53.35,53.75,53.15,53.66,11631200,53.05
2010-03-02,53.83,53.89,53.47,53.59,14081700,52.98
2010-03-01,54.04,54.13,53.54,53.90,12128700,53.29
2010-02-26,54.22,54.24,53.50,54.07,15952900,53.46
2010-02-25,53.46,54.28,53.25,54.15,13510100,53.54
2010-02-24,53.74,53.95,53.48,53.92,10624200,53.31
2010-02-23,53.75,54.08,53.45,53.62,14138000,53.01
2010-02-22,53.52,53.92,53.34,53.83,12097200,53.22
2010-02-19,53.19,53.58,53.07,53.49,15090400,52.88
2010-02-18,53.20,53.50,52.91,53.47,29457500,52.86
2010-02-17,53.69,54.25,53.65,54.06,15534200,53.45
2010-02-16,53.24,53.72,52.90,53.56,15771200,52.95
2010-02-12,53.11,53.11,52.66,52.90,17038400,52.30
2010-02-11,53.13,53.45,52.91,53.08,11579600,52.48
2010-02-10,53.27,53.50,52.96,53.24,9408400,52.64
2010-02-09,53.21,53.62,52.82,53.25,10825000,52.65
