Date,Open,High,Low,Close,Volume,Adj Close
2010-05-21,347.00,360.00,339.49,357.05,4800,357.05
2010-05-20,362.00,363.96,341.00,352.26,6400,352.26
2010-05-19,364.30,369.95,363.10,365.10,4400,365.10
2010-05-18,370.00,373.29,363.14,366.15,3400,366.15
2010-05-17,371.79,372.61,364.21,368.02,4300,368.02
2010-05-14,372.86,376.99,366.00,367.50,6100,367.50
2010-05-13,381.47,385.00,374.26,374.29,8800,374.29
2010-05-12,391.90,391.90,382.00,383.05,7300,383.05
2010-05-11,383.11,392.00,383.00,386.00,4800,386.00
2010-05-10,370.00,385.53,368.02,385.50,5600,385.50
2010-05-07,364.00,370.00,362.16,363.00,8300,363.00
2010-05-06,367.81,371.21,357.01,361.00,8700,361.00
2010-05-05,368.00,373.00,368.00,369.25,3200,369.25
2010-05-04,378.00,378.00,362.00,367.00,5800,367.00
2010-05-03,378.31,383.95,378.00,380.00,4900,379.59
2010-04-30,390.20,392.00,379.05,379.05,2900,378.64
2010-04-29,381.00,407.66,381.00,391.00,4700,390.58
2010-04-28,378.00,382.19,378.00,382.18,2600,381.77
2010-04-27,384.00,384.00,375.76,376.50,2500,376.09
2010-04-26,383.00,389.51,383.00,385.00,1700,384.58
2010-04-23,386.00,386.42,382.06,383.50,2000,383.09
2010-04-22,380.01,384.00,380.01,384.00,800,383.59
2010-04-21,386.66,387.95,381.19,382.00,2500,381.59
2010-04-20,385.15,387.00,383.50,386.00,1000,385.58
2010-04-19,385.00,387.00,381.01,385.00,1800,384.58
2010-04-16,392.40,392.40,385.91,387.00,5000,386.58
2010-04-15,389.80,393.00,388.01,391.00,1400,390.58
2010-04-14,388.85,391.45,388.30,391.45,4200,391.03
2010-04-13,388.00,390.00,387.05,388.75,2600,388.33
2010-04-12,386.75,389.82,385.74,389.00,2700,388.58
2010-04-09,377.74,387.00,377.74,386.75,2800,386.33
2010-04-08,385.00,386.82,380.55,384.73,3700,384.31
2010-04-07,385.25,388.99,380.01,386.00,4200,385.58
2010-04-06,389.00,392.00,383.50,386.15,3900,385.73
2010-04-05,398.06,398.06,385.02,391.45,2700,391.03
2010-04-01,387.00,388.98,385.27,388.75,3300,388.33
2010-03-31,385.00,387.50,383.01,385.50,2800,385.08
2010-03-30,395.00,395.00,383.01,387.00,3100,386.58
2010-03-29,381.75,388.00,378.00,386.00,5100,385.58
2010-03-26,382.00,383.31,377.22,382.67,4000,382.26
2010-03-25,393.05,399.00,375.00,380.00,22300,379.59
2010-03-24,393.00,397.00,391.43,395.00,2800,394.57
2010-03-23,396.00,398.00,392.00,395.00,3200,394.57
2010-03-22,391.84,396.15,390.00,396.00,4500,395.57
2010-03-19,406.14,408.99,391.95,392.00,8400,391.58
2010-03-18,399.40,407.00,399.40,406.94,4100,406.50
2010-03-17,400.82,406.00,400.00,405.70,9300,405.26
2010-03-16,401.00,402.57,397.00,401.00,6400,400.57
2010-03-15,402.60,404.98,395.01,399.00,6900,398.57
2010-03-12,401.92,403.00,396.11,401.02,7000,400.59
2010-03-11,395.50,402.00,395.50,402.00,3500,401.57
2010-03-10,395.98,416.00,395.50,395.50,2800,395.07
2010-03-09,394.25,401.99,394.00,397.00,2500,396.57
2010-03-08,395.00,398.92,395.00,396.00,2500,395.57
