"Date","Adj Close"
04/16/10,247.4
04/15/10,248.92
04/14/10,245.69
04/13/10,242.43
04/12/10,242.29
04/09/10,241.79
04/08/10,239.95
04/07/10,240.6
04/06/10,239.54
04/05/10,238.49
04/01/10,235.97
03/31/10,235
03/30/10,235.85
03/29/10,232.39
03/26/10,230.9
03/25/10,226.65
03/24/10,229.37
03/23/10,228.36
03/22/10,224.75
03/19/10,222.25
03/18/10,224.65
03/17/10,224.12
03/16/10,224.45
03/15/10,223.84
03/12/10,226.6
03/11/10,225.5
03/10/10,224.84
03/09/10,223.02
03/08/10,219.08
03/05/10,218.95
03/04/10,210.71
03/03/10,209.33
03/02/10,208.85
03/01/10,208.99
02/26/10,204.62
02/25/10,202
02/24/10,200.66
02/23/10,197.06
02/22/10,200.42
02/19/10,201.67
02/18/10,202.93
02/17/10,202.55
02/16/10,203.4
02/12/10,200.38
02/11/10,198.67
02/10/10,195.12
02/09/10,196.19
02/08/10,194.12
02/05/10,195.46
02/04/10,192.05
02/03/10,199.23
02/02/10,195.86
02/01/10,194.73
01/29/10,192.06
01/28/10,199.29
01/27/10,207.88
01/26/10,205.94
01/25/10,203.07
01/22/10,197.75
01/21/10,208.07
01/20/10,211.73
01/19/10,215.04
01/15/10,205.93
01/14/10,209.43
01/13/10,210.65
01/12/10,207.72
01/11/10,210.11
01/08/10,211.98
01/07/10,210.58
01/06/10,210.97
01/05/10,214.38
01/04/10,214.01
12/31/09,210.73
12/30/09,211.64
12/29/09,209.1
12/28/09,211.61
12/24/09,209.04
12/23/09,202.1
12/22/09,200.36
12/21/09,198.23
12/18/09,195.43
12/17/09,191.86
12/16/09,195.03
12/15/09,194.17
12/14/09,196.98
12/11/09,194.67
12/10/09,196.43
12/09/09,197.8
12/08/09,189.87
12/07/09,188.95
12/04/09,193.32
12/03/09,196.48
12/02/09,196.23
12/01/09,196.97
11/30/09,199.91
11/27/09,200.59
11/25/09,204.19
11/24/09,204.44
11/23/09,205.88
11/20/09,199.92
11/19/09,200.51
11/18/09,205.96
11/17/09,207
11/16/09,206.63
11/13/09,204.45
11/12/09,201.99
11/11/09,203.25
11/10/09,202.98
11/09/09,201.46
11/06/09,194.34
11/05/09,194.03
11/04/09,190.81
11/03/09,188.75
11/02/09,189.31
10/30/09,188.5
10/29/09,196.35
10/28/09,192.4
10/27/09,197.37
10/26/09,202.48
10/23/09,203.94
10/22/09,205.2
10/21/09,204.92
10/20/09,198.76
10/19/09,189.86
10/16/09,188.05
10/15/09,190.56
10/14/09,191.29
10/13/09,190.02
10/12/09,190.81
10/09/09,190.47
10/08/09,189.27
10/07/09,190.25
10/06/09,190.01
10/05/09,186.02
10/02/09,184.9
10/01/09,180.86
09/30/09,185.35
09/29/09,185.38
09/28/09,186.15
09/25/09,182.37
09/24/09,183.82
09/23/09,185.5
09/22/09,184.48
09/21/09,184.02
09/18/09,185.02
09/17/09,184.55
09/16/09,181.87
09/15/09,175.16
09/14/09,173.72
09/11/09,172.16
09/10/09,172.56
09/09/09,171.14
09/08/09,172.93
09/04/09,170.31
09/03/09,166.55
09/02/09,165.18
09/01/09,165.3
08/31/09,168.21
08/28/09,170.05
08/27/09,169.45
08/26/09,167.41
08/25/09,169.4
08/24/09,169.06
08/21/09,169.22
08/20/09,166.33
08/19/09,164.6
08/18/09,164
08/17/09,159.59
08/14/09,166.78
