Date,Open,High,Low,Close,Volume,Adj Close
2010-04-29,263.02,270.00,262.01,268.64,19943100,268.64
2010-04-28,263.25,264.00,256.41,261.60,27062200,261.60
2010-04-27,267.27,267.84,260.52,262.04,25318600,262.04
2010-04-26,271.88,272.46,268.19,269.50,17063600,269.50
2010-04-23,267.99,272.18,267.00,270.83,28431100,270.83
2010-04-22,258.24,266.75,256.20,266.47,28292800,266.47
2010-04-21,258.80,260.25,255.73,259.22,35061800,259.22
2010-04-20,248.54,249.25,242.96,244.59,26050700,244.59
2010-04-19,247.03,247.89,241.77,247.07,20231400,247.07
2010-04-16,248.57,251.14,244.55,247.40,26791500,247.40
2010-04-15,245.78,249.03,245.51,248.92,13429800,248.92
2010-04-14,245.28,245.81,244.07,245.69,14413500,245.69
2010-04-13,241.86,242.80,241.11,242.43,10920900,242.43
2010-04-12,242.20,243.07,241.81,242.29,11893800,242.29
2010-04-09,241.43,241.89,240.46,241.79,11924600,241.79
2010-04-08,240.44,241.54,238.04,239.95,20450500,239.95
2010-04-07,239.55,241.92,238.66,240.60,22428700,240.60
2010-04-06,238.20,240.24,237.00,239.54,15938600,239.54
2010-04-05,234.98,238.51,234.77,238.49,24351000,238.49
2010-04-01,237.41,238.73,232.75,235.97,21518100,235.97
2010-03-31,235.49,236.61,234.46,235.00,15360600,235.00
2010-03-30,236.60,237.48,234.25,235.85,18766400,235.85
2010-03-29,233.00,233.87,231.62,232.39,19120200,232.39
2010-03-26,228.95,231.95,228.55,230.90,22873000,230.90
2010-03-25,230.92,230.97,226.25,226.65,19367300,226.65
2010-03-24,227.64,230.20,227.51,229.37,21349300,229.37
2010-03-23,225.64,228.78,224.10,228.36,21495500,228.36
2010-03-22,220.47,226.00,220.15,224.75,16275000,224.75
2010-03-19,224.79,225.24,221.23,222.25,19980200,222.25
2010-03-18,224.10,225.00,222.61,224.65,12218200,224.65
2010-03-17,224.90,226.45,223.27,224.12,16105600,224.12
2010-03-16,224.18,224.98,222.51,224.45,15961000,224.45
2010-03-15,225.38,225.50,220.25,223.84,17625100,223.84
2010-03-12,227.37,227.73,225.75,226.60,14868700,226.60
2010-03-11,223.91,225.50,223.32,225.50,14489300,225.50
2010-03-10,223.83,225.48,223.20,224.84,21293500,224.84
2010-03-09,218.31,225.00,217.89,223.02,32866400,223.02
2010-03-08,220.01,220.09,218.25,219.08,15353200,219.08
2010-03-05,214.94,219.70,214.63,218.95,32129300,218.95
2010-03-04,209.28,210.92,208.63,210.71,13072900,210.71
2010-03-03,208.94,209.87,207.94,209.33,13287600,209.33
2010-03-02,209.93,210.83,207.74,208.85,20233800,208.85
2010-03-01,205.75,209.50,205.45,208.99,19646200,208.99
2010-02-26,202.38,205.17,202.00,204.62,18123600,204.62
2010-02-25,197.38,202.86,196.89,202.00,23754500,202.00
2010-02-24,198.23,201.44,197.84,200.66,16448800,200.66
2010-02-23,200.00,201.33,195.71,197.06,20539100,197.06
2010-02-22,202.34,202.50,199.19,200.42,13948700,200.42
2010-02-19,201.86,203.20,201.11,201.67,14838200,201.67
2010-02-18,201.63,203.89,200.92,202.93,15100900,202.93
2010-02-17,204.19,204.31,200.86,202.55,15585600,202.55
2010-02-16,201.94,203.69,201.52,203.40,19419200,203.40
2010-02-12,198.11,201.64,195.50,200.38,23409600,200.38
2010-02-11,194.88,199.75,194.06,198.67,19655200,198.67
2010-02-10,195.89,196.60,194.26,195.12,13227200,195.12
2010-02-09,196.42,197.50,194.75,196.19,22603100,196.19
2010-02-08,195.69,197.88,194.00,194.12,17081100,194.12
2010-02-05,192.63,196.00,190.85,195.46,30368100,195.46
2010-02-04,196.73,198.37,191.57,192.05,27059000,192.05
2010-02-03,195.17,200.20,194.42,199.23,21976000,199.23
2010-02-02,195.91,196.32,193.38,195.86,24940800,195.86
2010-02-01,192.37,196.00,191.30,194.73,26781300,194.73
2010-01-29,201.08,202.20,190.25,192.06,44498300,192.06
2010-01-28,204.93,205.50,198.70,199.29,41910800,199.29
2010-01-27,206.85,210.58,199.53,207.88,61520300,207.88
