"Date","Open","High","Low","Close","Volume","Adj Close"
05/11/10,18.44,19.13,18.36,18.8,16953600,18.8
05/10/10,18.52,18.72,17.95,18.24,11774700,18.24
05/07/10,18.08,18.79,17.5,17.63,20256900,17.63
05/06/10,19.27,19.29,17.05,18.18,19743400,18.18
05/05/10,19.39,19.61,19.06,19.3,10251500,19.3
05/04/10,19.51,19.54,18.91,19.07,6700800,19.07
05/03/10,19.43,19.74,19.37,19.72,3496200,19.72
04/30/10,19.81,19.81,19.37,19.37,3977300,19.37
04/29/10,19.75,19.87,19.62,19.8,2975100,19.8
04/28/10,19.84,19.92,19.55,19.63,4515100,19.63
04/27/10,19.91,20.24,19.72,19.77,6267300,19.77
04/26/10,19.95,20.06,19.78,19.9,3012700,19.9
04/23/10,19.9,20.06,19.57,19.97,4102400,19.97
04/22/10,19.6,19.89,19.39,19.84,3157100,19.84
04/21/10,19.91,19.95,19.55,19.75,3946500,19.75
04/20/10,19.74,20.04,19.68,19.97,3951600,19.97
04/19/10,19.48,19.79,19.46,19.71,4242800,19.71
04/16/10,19.58,19.83,19.38,19.57,6340200,19.57
04/15/10,20,20.01,19.43,19.45,7064200,19.45
04/14/10,19.34,19.79,19.32,19.74,6958600,19.74
04/13/10,19.42,19.45,19.14,19.32,3536200,19.32
04/12/10,19.26,19.65,19.26,19.4,5170600,19.4
04/09/10,19.16,19.49,19.16,19.36,5426800,19.36
04/08/10,19.11,19.27,18.89,19.19,3209600,19.19
04/07/10,19.21,19.24,18.92,19.18,3707600,19.18
04/06/10,19.1,19.22,18.85,19.11,4045000,19.11
04/05/10,18.95,19.16,18.88,19.1,2815500,19.1
04/01/10,18.64,18.95,18.59,18.84,3481400,18.84
03/31/10,18.66,18.73,18.56,18.66,4220500,18.66
03/30/10,18.64,18.92,18.46,18.79,4569600,18.79
03/29/10,18.9,18.99,18.61,18.68,3019500,18.68
03/26/10,18.6,18.88,18.5,18.85,5822200,18.85
03/25/10,18.68,18.98,18.55,18.56,4655500,18.56
03/24/10,18.43,18.57,18.34,18.53,4998600,18.53
03/23/10,18.54,18.7,18.44,18.52,4378000,18.52
03/22/10,18.38,18.63,18.28,18.56,4891200,18.56
03/19/10,18.7,18.72,18.25,18.42,7823100,18.42
03/18/10,18.17,18.74,18.17,18.53,10611700,18.53
03/17/10,17.94,18.29,17.88,18.14,5719000,18.14
03/16/10,17.92,17.93,17.65,17.92,6721000,17.92
03/15/10,17.76,17.92,17.58,17.87,3721700,17.87
03/12/10,17.92,17.92,17.63,17.77,4571800,17.77
03/11/10,17.83,17.93,17.71,17.9,6244000,17.9
03/10/10,17.54,17.95,17.54,17.89,7334200,17.89
03/09/10,17.27,17.81,17.23,17.58,13646200,17.58
03/08/10,17.13,17.55,17.11,17.28,6267100,17.28
03/05/10,16.9,17.2,16.85,17.12,5398600,17.12
03/04/10,16.79,16.85,16.65,16.82,4501100,16.82
03/03/10,16.82,16.95,16.76,16.81,3319500,16.81
03/02/10,16.93,17.05,16.69,16.74,5983900,16.74
03/01/10,16.73,16.91,16.63,16.87,5876000,16.87
02/26/10,16.41,16.69,16.38,16.58,5745500,16.58
02/25/10,16.26,16.58,16.22,16.56,6468700,16.56
02/24/10,16.41,16.58,16.33,16.52,3758900,16.52
02/23/10,16.59,16.68,16.22,16.31,5673100,16.31
02/22/10,16.79,16.95,16.33,16.59,7470800,16.59
02/19/10,16.54,16.87,16.49,16.75,8940100,16.75
02/18/10,16.51,16.81,16.5,16.59,5232700,16.59
02/17/10,16.45,16.66,16.38,16.63,9097200,16.63
02/16/10,16.14,16.5,16.03,16.31,7442600,16.31
02/12/10,16,16.27,15.92,16.06,8433000,16.06
02/11/10,15.87,16.2,15.85,16.12,8684100,16.12
02/10/10,16.04,16.12,15.75,15.94,13675500,15.94
02/09/10,16.04,16.28,15.7,15.96,47398100,15.96
02/08/10,17.38,17.86,17.01,17.49,16170700,17.49
02/05/10,16.85,17.33,16.83,17.26,10278500,17.26
02/04/10,17.18,17.18,16.82,16.98,7194600,16.98
02/03/10,16.92,17.32,16.79,17.27,6417200,17.27
02/02/10,16.73,17.13,16.57,17.07,8118000,17.07
02/01/10,16.52,16.74,16.32,16.74,6576700,16.74
01/29/10,16.91,17.09,16.26,16.28,7559700,16.28
01/28/10,17.11,17.3,16.42,16.77,12769100,16.77
01/27/10,16.65,17.22,16.65,17.13,10947600,17.13
01/26/10,16.75,16.96,16.66,16.74,6189100,16.74
01/25/10,16.9,17.17,16.67,16.83,7703100,16.83
01/22/10,17.25,17.3,16.7,16.77,8718600,16.77
01/21/10,17.29,17.57,17.13,17.38,12834900,17.38
01/20/10,16.99,17.24,16.62,17.21,8092800,17.21
01/19/10,16.9,17.22,16.88,17.17,7651400,17.17
01/15/10,17.21,17.29,16.95,17.03,9530400,17.03
01/14/10,17.1,17.34,16.98,17.18,9110400,17.18
01/13/10,16.85,17.22,16.73,17.17,14347600,17.17
01/12/10,16.74,17.14,16.56,16.85,31920900,16.85
01/11/10,18.47,18.7,18.13,18.27,6142400,18.27
01/08/10,18.18,18.45,18.03,18.4,4055600,18.4
01/07/10,17.91,18.07,17.78,18.04,5433200,18.04
01/06/10,18.61,18.65,18.06,18.18,5047300,18.18
01/05/10,18.31,18.87,18.23,18.66,6632500,18.66
01/04/10,17.99,18.24,17.89,18.15,3850500,18.15
12/31/09,18.26,18.26,17.73,17.75,3866500,17.75
12/30/09,17.74,18.28,17.74,18.22,5954000,18.22
12/29/09,17.91,17.98,17.71,17.92,3084300,17.92
12/28/09,17.95,17.98,17.82,17.9,3285600,17.9
12/24/09,17.77,17.98,17.7,17.98,2163500,17.98
12/23/09,17,17.77,17,17.71,6802500,17.71
12/22/09,16.82,17.1,16.73,17.07,3798000,17.07
12/21/09,16.86,16.95,16.56,16.86,5239100,16.86
12/18/09,16.74,16.9,16.64,16.72,7865700,16.72
12/17/09,16.62,16.84,16.49,16.51,6908600,16.51
12/16/09,16.48,16.99,16.48,16.79,6992500,16.79
12/15/09,16.55,16.88,16.42,16.46,6247800,16.46
12/14/09,16.21,16.45,16.13,16.43,4242200,16.43
12/11/09,16.4,16.5,15.99,16.11,6645900,16.11
12/10/09,16.38,16.6,16.36,16.44,6722200,16.44
12/09/09,16.38,16.41,15.86,16.36,12205100,16.36
12/08/09,16.04,16.45,15.96,16.36,8950000,16.36
12/07/09,16.2,16.35,16.1,16.2,6151500,16.2
12/04/09,16.66,16.72,16.02,16.2,11898800,16.2
12/03/09,16.87,17.14,16.55,16.55,4754300,16.55
12/02/09,16.99,17.15,16.76,16.85,6490900,16.85
12/01/09,16.95,17.14,16.79,16.98,5865400,16.98
11/30/09,16.99,17.09,16.74,16.89,5593500,16.89
11/27/09,17.14,17.22,16.96,17.01,3128900,17.01
11/25/09,17.12,17.55,17.12,17.51,6170400,17.51
11/24/09,17.17,17.35,16.99,17.06,7539100,17.06
11/23/09,17.46,17.56,17.18,17.25,5545500,17.25
11/20/09,17.24,17.55,17.15,17.3,6454000,17.3
11/19/09,17.65,17.8,17.32,17.43,6598500,17.43
11/18/09,17.86,17.98,17.62,17.67,5735800,17.67
11/17/09,18.1,18.17,17.57,17.85,10202000,17.85
11/16/09,18.06,18.32,18.01,18.05,7857700,18.05
11/13/09,18.22,18.39,18.05,18.16,7244200,18.16
11/12/09,18.49,18.5,18.17,18.22,10079900,18.22
11/11/09,18.37,18.5,18.18,18.45,7792400,18.45
11/10/09,18.33,18.45,17.77,18.29,20858100,18.29
11/09/09,19.34,19.68,19.07,19.53,13472200,19.53
11/06/09,18.25,19.13,18.16,19,11027800,19
11/05/09,17.97,18.41,17.94,18.16,5731000,18.16
11/04/09,17.79,18.12,17.7,17.73,10982800,17.73
11/03/09,17.87,18.05,17.57,17.77,17473700,17.77
11/02/09,18.25,18.4,17.9,18.01,13953300,18.01
10/30/09,18.66,18.93,18.12,18.24,10324100,18.24
10/29/09,18.7,18.81,18.42,18.7,4331600,18.7
10/28/09,18.95,18.96,18.44,18.52,8663700,18.52
10/27/09,19.47,19.73,18.79,18.95,9807100,18.95
10/26/09,19.71,19.97,19.4,19.47,4759700,19.47
10/23/09,20.17,20.35,19.53,19.71,4845100,19.71
10/22/09,19.72,19.96,19.31,19.96,8402400,19.96
10/21/09,19.81,20.27,19.69,19.73,6923300,19.73
10/20/09,20.38,20.6,19.74,19.97,10378000,19.97
10/19/09,20.67,20.99,20.53,20.83,3977500,20.83
10/16/09,20.17,20.74,20.12,20.56,6155600,20.56
10/15/09,20.67,21.05,20.17,20.35,10435300,20.35
10/14/09,20.93,21.05,20.81,20.91,5364300,20.91
10/13/09,20.4,21,20.36,20.77,6017200,20.77
10/12/09,20.35,20.85,20.35,20.58,5955200,20.58
